Citance Number: 1 |  Reference Article:  J96-3004.xml  |  Citing Article:  A00-2032.xml  |  Citation Marker Offset:  ['142']  |  Citation Marker:  1996  |  Citation Offset:  ['141','142']  |  Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÃ‚Â­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÃ‚Â­ proach.</S>  | Reference Offset: ['347','231','437',] | Reference Text: <S sid ="347" ssid = "56">It may seem surprising to some readers that the interhuman agreement scores reported here are so low.</S><S sid ="231" ssid = "95">wo rd => na m e 2.</S><S sid ="437" ssid = "40">The segmenter will give both analyses :1 cai2 neng2 'just be able,' and ?]cai2neng2 'talent,' but the latter analysis is preferred since splitting these two morphemes is generally more costly than grouping them.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 53 |  Reference Article:  J96-3004.xml  |  Citing Article:  W03-1728.xml  |  Citation Marker Offset:  ['3']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['3']  |  Citation Text:  <S sid ="3" ssid = "3">This may sound simple enough but in reality identifying words in Chinese is a nontrivial problem that has drawn a large body of research in the Chinese language processing community (Fan and Tsai, 1988; Gan et al., 1996; Sproat et al., 1996; Wu, 2003; Xue, 2003).</S>  | Reference Offset: ['334','44','10',] | Reference Text: <S sid ="334" ssid = "43">Clearly the percentage of productively formed words is quite small (for this particular corpus), meaning that dictionary entries are covering most of the 15 GR is .73 or 96%..</S><S sid ="44" ssid = "5">For example, in Northern dialects (such as Beijing), a full tone (1, 2, 3, or 4) is changed to a neutral tone (0) in the final syllable of many words: Jll donglgual 'winter melon' is often pronounced donglguaO.</S><S sid ="10" ssid = "10">Email: rlls@bell-labs.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 54 |  Reference Article:  J96-3004.xml  |  Citing Article:  W04-3236.xml  |  Citation Marker Offset:  ['157']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['157']  |  Citation Text:  <S sid ="157" ssid = "35">Much previous research on Chinese language processing focused on word segmentation (Sproat et al., 1996; Teahan et al., 2000; Sproat and Emerson, 2003).</S>  | Reference Offset: ['413','43','68',] | Reference Text: <S sid ="413" ssid = "16">One hopes that such a corpus will be forthÂ­ coming.</S><S sid ="43" ssid = "4">level.</S><S sid ="68" ssid = "6">It also incorporates the Good-Turing method (Baayen 1989; Church and Gale 1991) in estimating the likelihoods of previously unseen conÂ­ structions, including morphological derivatives and personal names.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 55 |  Reference Article:  J96-3004.xml  |  Citing Article:  W05-0709.xml  |  Citation Marker Offset:  ['83']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['83']  |  Citation Text:  <S sid ="83" ssid = "9">In addition to the model based upon a dictionary of stems and words, we also experimented with models based upon character n-grams, similar to those used for Chinese segmentation (Sproat et al., 1996).</S>  | Reference Offset: ['434','83','320',] | Reference Text: <S sid ="434" ssid = "37">Another question that remains unanswered is to what extent the linguistic information he considers can be handled-or at least approximated-by finite-state language models, and therefore could be directly interfaced with the segmentation model that we have presented in this paper.</S><S sid ="83" ssid = "21">Similarly, hanzi sharing the GHOST radical _m tend to denote spirits and demons, such as _m gui3 'ghost' itself, II: mo2 'demon,' and yan3 'nightmare.'</S><S sid ="320" ssid = "29">from the subset of the United Informatics corpus not used in the training of the models.</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 56 |  Reference Article:  J96-3004.xml  |  Citing Article:  W06-1630.xml  |  Citation Marker Offset:  ['118']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['118']  |  Citation Text:  <S sid ="118" ssid = "13">The words were stemmed all possible ways using simple hand-developed affix lists: for example, given a Hindi word c1 c2 c3 , if both c3 and c2 c3 are in our suffix and ending list, then this single word generates three possible candidates: c1 , c1 c2 , and c1c2 c3 . In contrast, Chinese candidates were extracted using a list of 495 characters that are frequently used for foreign names (Sproat et al., 1996).</S>  | Reference Offset: ['391','70','304',] | Reference Text: <S sid ="391" ssid = "100">An example is in (i), where the system fails to group t;,f;?"$?t!: lin2yang2gang3 as a name, because all three hanzi can in principle be separate words (t;,f; lin2 'wood';?"$ yang2 'ocean'; ?t!; gang3 'harbor').</S><S sid ="70" ssid = "8">This latter evaluation compares the performance of the system with that of several human judges since, as we shall show, even people do not agree on a single correct way to segment a text.</S><S sid ="304" ssid = "13">Various segmentation approaches were then compared with human performance: 1.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 57 |  Reference Article:  J96-3004.xml  |  Citing Article:  W10-3212.xml  |  Citation Marker Offset:  ['16']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['16']  |  Citation Text:  <S sid ="16" ssid = "2">In such languages, words are segmented using more advanced techniques, which can be categorized into three methods: (i) Dictionary/lexicon based approaches (ii) Linguistic knowledge based approaches (iii) Machine learning based approaches/statistical approaches (Haruechaiyasak et al., 2008) Longest matching (Poowarawan, 1986; Richard Sproat, 1996) and maximum matching (Sproat et al., 1996; Haizhou &amp; Baosheng, 1998) are examples of lexicon based approaches.</S>  | Reference Offset: ['369','105','130',] | Reference Text: <S sid ="369" ssid = "78">Examples are given in Table 4.</S><S sid ="105" ssid = "43">Two issues distinguish the various proposals.</S><S sid ="130" ssid = "68">Indeed, as we shall show in Section 5, even human judges differ when presented with the task of segmenting a text into words, so a definition of the criteria used to determine that a given segmentation is correct is crucial before one can interpret such measures.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 58 |  Reference Article:  J96-3004.xml  |  Citing Article:  W10-3708.xml  |  Citation Marker Offset:  ['16']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['16']  |  Citation Text:  <S sid ="16" ssid = "16">Experiments have shown only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al., 1996).</S>  | Reference Offset: ['445','35','60',] | Reference Text: <S sid ="445" ssid = "48">Mandarin exhibits several such processes, including A-not-A question formation, ilÂ­ lustrated in (3a), and adverbial reduplication, illustrated in (3b): 3.</S><S sid ="35" ssid = "35">For that application, at a minimum, one would want to know the phonological word boundaries.</S><S sid ="60" ssid = "21">Personal names such as 00, 3R; zhoulenl-lai2 'Zhou Enlai.'</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 59 |  Reference Article:  J96-3004.xml  |  Citing Article:  W11-0823.xml  |  Citation Marker Offset:  ['174']  |  Citation Marker:  1996  |  Citation Offset:  ['174']  |  Citation Text:  <S sid ="174" ssid = "7">There are a number of popular dictionary-based solutions such as Cha Sen10 and Juman.11 Sproat et al (1996) proposed an alternative solution based on distributional statistics such as mutual information.</S>  | Reference Offset: ['302','183','446',] | Reference Text: <S sid ="302" ssid = "11">An examination of the subjects' bracketings confirmed that these instructions were satisfactory in yielding plausible word-sized units.</S><S sid ="183" ssid = "47">As indicated in Figure 1(c), apart from this correct analysis, there is also the analysis taking B ri4 as a word (e.g., a common abbreviation for Japan), along with X:Â¥ wen2zhangl 'essay/ and f!!.</S><S sid ="446" ssid = "49">(a) ;IE shi4 'be' => ;IE;IE shi4bu2-shi4 (be-not-be) 'is it?'</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 60 |  Reference Article:  J96-3004.xml  |  Citing Article:  W12-1011.xml  |  Citation Marker Offset:  ['41']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['41']  |  Citation Text:  <S sid ="41" ssid = "5">Indeed, even native speakers can agree on word boundaries in modern Chinese only about 76% of the time (Sproat et al., 1996).</S>  | Reference Offset: ['367','24','243',] | Reference Text: <S sid ="367" ssid = "76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.'s system.</S><S sid ="24" ssid = "24">2 Chinese ?l* han4zi4 'Chinese character'; this is the same word as Japanese kanji..</S><S sid ="243" ssid = "107">This model is easily incorporated into the segmenter by building a WFST restrictÂ­ ing the names to the four licit types, with costs on the arcs for any particular name summing to an estimate of the cost of that name.</S> | Discourse Facet: Result_Citation | Annotator: xukey, WHU |
Citance Number: 61 |  Reference Article:  J96-3004.xml  |  Citing Article:  W12-1011.xml  |  Citation Marker Offset:  ['204']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['204']  |  Citation Text:  <S sid ="204" ssid = "9">No comparable figure has been reported for classical Chinese word segmentation, but this rate compares favorably with past attempts for modern Chinese, e.g., an average of 76% inter- human agreement rate in (Sproat et al., 1996).</S>  | Reference Offset: ['428','74','306',] | Reference Text: <S sid ="428" ssid = "31">Gan's solution depends upon a fairly sophisticated language model that attempts to find valid syntactic, semantic, and lexical relations between objects of various linguistic types (hanzi, words, phrases).</S><S sid ="74" ssid = "12">The first point we need to address is what type of linguistic object a hanzi repreÂ­ sents.</S><S sid ="306" ssid = "15">2.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 62 |  Reference Article:  J96-3004.xml  |  Citing Article:  W12-2303.xml  |  Citation Marker Offset:  ['12']  |  Citation Marker:  1996  |  Citation Offset:  ['11','12']  |  Citation Text:  <S sid ="11" ssid = "11">An extension of this approach is the dynamic programming search of the most probable word combination on the word lattice, such as Ma (1996) and Sproat et al.</S><S sid ="12" ssid = "12">(1996), which utilize information such as word frequency statistics in a corpus to build the model and are less efficient but more accurate.</S>  | Reference Offset: ['348','58','301',] | Reference Text: <S sid ="348" ssid = "57">However, this result is consistent with the results of exÂ­ periments discussed in Wu and Fung (1994).</S><S sid ="58" ssid = "19">(student+plural) 'students,' which is derived by the affixation of the plural affix f, menD to the nounxue2shengl.</S><S sid ="301" ssid = "10">Since we could not bias the subjects towards a particular segmentation and did not presume linguistic sophistication on their part, the instructions were simple: subjects were to mark all places they might plausibly pause if they were reading the text aloud.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 63 |  Reference Article:  J96-3004.xml  |  Citing Article:  W12-2303.xml  |  Citation Marker Offset:  ['157']  |  Citation Marker:  1996  |  Citation Offset:  ['156','157']  |  Citation Text:  <S sid ="155" ssid = "30">There are many other OOV recognition methods proposed in literature before the rise of machine learning in the field.</S><S sid ="156" ssid = "31">For example, the Sproat et al.</S><S sid ="157" ssid = "32">(1996) system can successfully recognize OOVs of strong patterns, such as Chinese personal names, transliterations, using finite-state techniques.</S>  | Reference Offset: ['332','246','458',] | Reference Text: <S sid ="332" ssid = "41">Two of the Mainlanders also cluster close together but, interestingly, not particularly close to the Taiwan speakers; the third Mainlander is much more similar to the Taiwan speakers.</S><S sid ="246" ssid = "110">First, the model assumes independence between the first and second hanzi of a double given name.</S><S sid ="458" ssid = "4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 64 |  Reference Article:  J96-3004.xml  |  Citing Article:  W97-0120.xml  |  Citation Marker Offset:  ['26']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['26']  |  Citation Text:  <S sid ="26" ssid = "26">One of the major problems in unsupervised word segmentation is the treatment of unseen word [Sproat et al., 1996] wrote lexical rules for each productive morphological process, such as plur noun formation, Chinese personal names, and transliterations of foreign words.</S>  | Reference Offset: ['374','99','128',] | Reference Text: <S sid ="374" ssid = "83">This is a rather important source of errors in name identifiÂ­ cation, and it is not really possible to objectively evaluate a name recognition system without considering the main lexicon with which it is used.</S><S sid ="99" ssid = "37">so that 'door' would be and in this case the hanzi 7C, does not represent a syllable.</S><S sid ="128" ssid = "66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 65 |  Reference Article:  J96-3004.xml  |  Citing Article:  W97-0120.xml  |  Citation Marker Offset:  ['69']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['69']  |  Citation Text:  <S sid ="69" ssid = "5">We used a simple greedy algorithm described in [Sproat et al., 1996].</S>  | Reference Offset: ['326','135','360',] | Reference Text: <S sid ="326" ssid = "35">The result of this is shown in Figure 7.</S><S sid ="135" ssid = "73">The dictionary sizes reported in the literature range from 17,000 to 125,000 entries, and it seems reasonable to assume that the coverage of the base dictionary constitutes a major factor in the performance of the various approaches, possibly more important than the particular set of methods used in the segmentation.</S><S sid ="360" ssid = "69">The performance of our system on those sentences apÂ­ peared rather better than theirs.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 66 |  Reference Article:  J96-3004.xml  |  Citing Article:  W97-0120.xml  |  Citation Marker Offset:  ['73']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['73']  |  Citation Text:  <S sid ="73" ssid = "9">[Sproat et al., 1996] also proposed another method to estimate a set of initial word frequencies without segmenting the corpus.</S>  | Reference Offset: ['362','12','310',] | Reference Text: <S sid ="362" ssid = "71">However, they list two sets, one consisting of 28 fragments and the other of 22 fragments, in which they had 0% recall and precision.</S><S sid ="12" ssid = "12">Email: cls@bell-labs.</S><S sid ="310" ssid = "19">The method being described-henceforth ST..</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 67 |  Reference Article:  J96-3004.xml  |  Citing Article:  W97-0120.xml  |  Citation Marker Offset:  ['86']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['86']  |  Citation Text:  <S sid ="86" ssid = "22">The problem of the longest match string frequency method is that if a word W1 is a substring of other word w2 and if wl always appears as a substring of w2 in the training text, just like m 1Although (Sproat et al., 1996] calls it &quot;maximum matching&quot;, we call this method &quot;longest match&quot; according to a review on Chinese word segmentation [Wu and Tseng, 1993) and the literal translation of the Japanese name of the method Hi!:.</S>  | Reference Offset: ['62','89','34',] | Reference Text: <S sid ="62" ssid = "23">can expect famous names like Zhou Enlai's to be in many dictionaries, but names such as :fi lf;f; shi2jil-lin2, the name of the second author of this paper, will not be found in any dictionary.</S><S sid ="89" ssid = "27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÂ­ cal rule-based approaches, and approaches that combine lexical information with staÂ­ tistical information.</S><S sid ="34" ssid = "34">For example, suppose one is building a ITS system for Mandarin Chinese.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 68 |  Reference Article:  J96-3004.xml  |  Citing Article:  W97-0120.xml  |  Citation Marker Offset:  ['121']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset: ['121']  |  Citation Text:  <S sid ="121" ssid = "15">Word Segmentation accuracy is expressed in terms of recall and precision as is done for bracketing of partial parses [Nagata, 1994, Sproat et al., 1996).</S>  | Reference Offset: ['425','51','288',] | Reference Text: <S sid ="425" ssid = "28">(a) 1 Â§ . ;m t 7 leO z h e 4 pil m a 3 lu 4 sh an g4 bi ng 4 t h i s CL (assi fier) horse w ay on sic k A SP (ec t) 'This horse got sick on the way' (b) 1Â§: . til y zhe4 tiao2 ma3lu4 hen3 shao3 this CL road very few 'Very few cars pass by this road' :$ chel jinglguo4 car pass by 2.</S><S sid ="51" ssid = "12">Making the reasonable assumption that similar information is relevant for solving these problems in Chinese, it follows that a prerequisite for intonation-boundary assignment and prominence assignment is word segmentation.</S><S sid ="288" ssid = "152">Virginia) and -sia are normally transliterated as fbSi!</S> | Discourse Facet: Method_Citation | Annotator: xukey, WHU |
Citance Number: 69 |  Reference Article:  J96-3004.xml  |  Citing Article:  W97-0316.xml  |  Citation Marker Offset:  ['11']  |  Citation Marker:  Sproat et al., 1996  |  Citation Offset:  ['10','11']  |  Citation Text:  <S sid ="10" ssid = "10">Automatic methods for correctly isolating words in a sentence -- a process called word segmentation -- is therefore an important and necessary first step to be taken before other analysis can begin.</S><S sid ="11" ssid = "11">Many researchers have proposed practical methods to resolve this problem such as (Nie et al., 1995, Wu and Tsang, 1995, Jin &amp; Chen, 1996, Ponte &amp; Croft, 1996, Sproat et al., 1996, Sun et al., 1997).</S>  | Reference Offset: ['170','3','115',] | Reference Text: <S sid ="170" ssid = "34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S><S sid ="3" ssid = "3">For a language like English, this problem is generally regarded as trivial since words are delimited in English text by whitespace or marks of punctuation.</S><S sid ="115" ssid = "53">Others depend upon various lexical heurisÂ­ tics: for example Chen and Liu (1992) attempt to balance the length of words in a three-word window, favoring segmentations that give approximately equal length for each word.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
