Citance Number: 1 |  Reference Article:  P05-1053.xml  |  Citing Article:  C08-1088.xml  |  Citation Marker Offset:  ['37']  |  Citation Marker: 2005  |  Citation Offset:  ['36','37']  |  Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S>  | Reference Offset: ['178','206','187',] | Reference Text: <S sid ="178" ssid = "60">4 6 3 . 4 7 2 . 4 Citize n-Of 3 6 2 5 8 75.</S><S sid ="206" ssid = "88">Advances in Neural Information Processing Systems 14.</S><S sid ="187" ssid = "69">5 55 .5 Ka mb hat la (20 04) :fe ature bas ed 6 3.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 60 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-1053.xml  |  Citation Marker Offset:  ['193']  |  Citation Marker:  2005  |  Citation Offset:  ['193']  |  Citation Text:  <S sid ="193" ssid = "157">Zhou et al.</S><S sid ="194" ssid = "158">(2005) tested their system on the ACE 2003 data;.</S>  | Reference Offset: ['194','166','159',] | Reference Text: <S sid ="194" ssid = "76">This may be due to three reasons: First, most of relations defined in ACE have two mentions being close to each other.</S><S sid ="166" ssid = "48">It shows that 73% (627/864) of errors results from relation detection and 27% (237/864) of errors results from relation characterization, among which 17.8% (154/864) of errors are from misclassification across relation types and 9.6% (83/864) # of relations of errors are from misclassification of relation sub- types inside the same relation types.</S><S sid ="159" ssid = "41">It shows that our system achieves the performance of 84.8%/66.7%/74.7 in precision/recall/F- measure on relation detection.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 61 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-1056.xml  |  Citation Marker Offset:  ['11']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['11']  |  Citation Text:  <S sid ="11" ssid = "11">However, most approaches to RE have assumed that the relationsÃ¢â‚¬â„¢ arguments are given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Jiang, 2009; Zhou et al., 2005), and therefore offer only a partial solution to the problem.</S>  | Reference Offset: ['177','181','192',] | Reference Text: <S sid ="177" ssid = "59">8 5 1 . 9 4 3 . 8 R O LE 6 9 9 4 4 3 8 2 84.</S><S sid ="181" ssid = "63">6 6 4 . 2 6 1 . 8 Memb er 2 2 4 1 0 4 3 6 74.</S><S sid ="192" ssid = "74">In this paper, we have presented a feature-based approach for relation extraction where diverse lexical, syntactic and semantic knowledge are employed.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 62 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-1056.xml  |  Citation Marker Offset:  ['58']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['58']  |  Citation Text:  <S sid ="58" ssid = "19">Most prior RE evaluation on ACE data assumed that mentions are already pre-annotated and given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Zhou et al., 2005).</S>  | Reference Offset: ['173','215','172',] | Reference Text: <S sid ="173" ssid = "55">9 2 2 . 9 3 6 . 4 Relative Locati on 3 5 8 1 88.</S><S sid ="215" ssid = "97">The experiment result also shows that our feature-based approach outperforms the tree kernel-based approaches by more than 20 F-measure on the extraction of 5 ACE relation types.</S><S sid ="172" ssid = "54">9 2 8 . 8 4 0 . 4 N EA R 3 5 8 1 88.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 63 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-3012.xml  |  Citation Marker Offset:  ['34']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['34']  |  Citation Text:  <S sid ="34" ssid = "7">We used Zhou et al.Ã¢â‚¬â„¢s lexical features (Zhou et al., 2005) as the basis for the features of our system similar to what other researchers have done (Chan and Roth, 2010).</S>  | Reference Offset: ['211','166','160',] | Reference Text: <S sid ="211" ssid = "93">Besides, we also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S><S sid ="166" ssid = "48">It shows that 73% (627/864) of errors results from relation detection and 27% (237/864) of errors results from relation characterization, among which 17.8% (154/864) of errors are from misclassification across relation types and 9.6% (83/864) # of relations of errors are from misclassification of relation sub- types inside the same relation types.</S><S sid ="160" ssid = "42">It also shows that our system achieves overall performance of 77.2%/60.7%/68.0 and 63.1%/49.5%/55.5 in precision/recall/F-measure on the 5 ACE relation types and the best-reported systems on the ACE corpus.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 65 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-3012.xml  |  Citation Marker Offset:  ['47']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['47']  |  Citation Text:  <S sid ="47" ssid = "4">Although a bit lower than Zhou et al.Ã¢â‚¬â„¢s result of 55.5 (Zhou et al., 2005), we attribute the difference to our use of a different tokenizer, different parser, and having not used the semantic information features.</S>  | Reference Offset: ['156','153','209',] | Reference Text: <S sid ="156" ssid = "38">Table 4 also indicates the low performance on the relation type â€œATâ€? although it frequently occurs in both the training and testing data.</S><S sid ="153" ssid = "35">It also shows that our system performs best on the subtype â€œSOCIAL.Parentâ€? and â€œROLE.</S><S sid ="209" ssid = "91">(2004).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 65 |  Reference Article:  P05-1053.xml  |  Citing Article:  P11-3012.xml  |  Citation Marker Offset:  ['47']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['47']  |  Citation Text:  <S sid ="47" ssid = "4">Although a bit lower than Zhou et al.Ã¢â‚¬â„¢s result of 55.5 (Zhou et al., 2005), we attribute the difference to our use of a different tokenizer, different parser, and having not used the semantic information features.</S>  | Reference Offset: ['156','153','209',] | Reference Text: <S sid ="156" ssid = "38">Table 4 also indicates the low performance on the relation type â€œATâ€? although it frequently occurs in both the training and testing data.</S><S sid ="153" ssid = "35">It also shows that our system performs best on the subtype â€œSOCIAL.Parentâ€? and â€œROLE.</S><S sid ="209" ssid = "91">(2004).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 66 |  Reference Article:  P05-1053.xml  |  Citing Article:  P13-1147.xml  |  Citation Marker Offset:  ['167']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['167']  |  Citation Text:  <S sid ="167" ssid = "10">This is slightly behind that of Zhang (2006); the reason might be threefold: i) different data partitioning; ii) different pre-processing; iii) they incorporate features from additional sources, i.e. a phrase chunker, dependency parser and semantic resources (Zhou et al., 2005) (we have on average 9 features/instance, they use 40).</S>  | Reference Offset: ['178','203','209',] | Reference Text: <S sid ="178" ssid = "60">4 6 3 . 4 7 2 . 4 Citize n-Of 3 6 2 5 8 75.</S><S sid ="203" ssid = "85">(2002).</S><S sid ="209" ssid = "91">(2004).</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 67 |  Reference Article:  P05-1053.xml  |  Citing Article:  W06-1634.xml  |  Citation Marker Offset:  ['9']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['9']  |  Citation Text:  <S sid ="9" ssid = "9">Techniques based on machine learning (Zhou et al., 2005; Hao et al., 2005; Bunescu and Mooney, 2006) are expected to alleviate this problem in manually crafted IE.</S>  | Reference Offset: ['138','142','162',] | Reference Text: <S sid ="138" ssid = "20">â€¢ Chunking features are very useful.</S><S sid ="142" ssid = "24">Table 3 shows that about 70% of relations exist where two mentions are embedded in each other or separated by at most one word.</S><S sid ="162" ssid = "44">It also shows that feature-based methods dramatically outperform kernel methods.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 68 |  Reference Article:  P05-1053.xml  |  Citing Article:  W06-1634.xml  |  Citation Marker Offset:  ['17']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['17']  |  Citation Text:  <S sid ="17" ssid = "2">A technique that many previous approaches have used is shallow parsing (Koike et al., 2003; Yao et al., 2004; Zhou et al., 2005).</S>  | Reference Offset: ['135','159','200',] | Reference Text: <S sid ="135" ssid = "17">It only improves the F-measure by 0.8 due to the recall increase.</S><S sid ="159" ssid = "41">It shows that our system achieves the performance of 84.8%/66.7%/74.7 in precision/recall/F- measure on relation detection.</S><S sid ="200" ssid = "82">Head-driven statistical models for natural language parsing.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 69 |  Reference Article:  P05-1053.xml  |  Citing Article:  W06-1667.xml  |  Citation Marker Offset:  ['8']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['8']  |  Citation Text:  <S sid ="8" ssid = "8">Prior work on automatic relation extraction come in three kinds: supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithm (Hasegawa et al., 2004).</S>  | Reference Offset: ['54','160','32',] | Reference Text: <S sid ="54" ssid = "10">2 Joachims has just released a new version of SVMLight.</S><S sid ="160" ssid = "42">It also shows that our system achieves overall performance of 77.2%/60.7%/68.0 and 63.1%/49.5%/55.5 in precision/recall/F-measure on the 5 ACE relation types and the best-reported systems on the ACE corpus.</S><S sid ="32" ssid = "3">Zelenko et al (2003) proposed extracting relations by computing kernel functions between parse trees.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 70 |  Reference Article:  P05-1053.xml  |  Citing Article:  W06-1667.xml  |  Citation Marker Offset:  ['174']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['174']  |  Citation Text:  <S sid ="174" ssid = "110">Especially, although we did not concern the dependency tree and full parse tree information as other supervised methods (Miller et al., 2000; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), the incorporation of simple features, such as words and chunking information, still can provide complement information for capturing the characteristics of entity pairs.</S>  | Reference Offset: ['175','173','183',] | Reference Text: <S sid ="175" ssid = "57">1 6 4 . 6 6 8 . 6Part Of 1 3 6 7 6 3 2 70.</S><S sid ="173" ssid = "55">9 2 2 . 9 3 6 . 4 Relative Locati on 3 5 8 1 88.</S><S sid ="183" ssid = "65">1 6 3 . 2 6 8 . 5Other Profes sional 2 9 1 6 3 2 33.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 71 |  Reference Article:  P05-1053.xml  |  Citing Article:  W08-0602.xml  |  Citation Marker Offset:  ['39']  |  Citation Marker:  2005  |  Citation Offset:  ['39']  |  Citation Text:  <S sid ="39" ssid = "39">This follows on from the success of these methods in general NLP (see for example Zhou et al (2005)).</S>  | Reference Offset: ['199','153','215',] | Reference Text: <S sid ="199" ssid = "81">(1999).</S><S sid ="153" ssid = "35">It also shows that our system performs best on the subtype â€œSOCIAL.Parentâ€? and â€œROLE.</S><S sid ="215" ssid = "97">The experiment result also shows that our feature-based approach outperforms the tree kernel-based approaches by more than 20 F-measure on the extraction of 5 ACE relation types.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 72 |  Reference Article:  P05-1053.xml  |  Citing Article:  W08-0602.xml  |  Citation Marker Offset:  ['136']  |  Citation Marker:  2005  |  Citation Offset:  ['136']  |  Citation Text:  <S sid ="136" ssid = "51">We use features developed in part from those described in Zhou et al (2005) and Wang et al (2006).</S>  | Reference Offset: ['195','159','190',] | Reference Text: <S sid ="195" ssid = "77">While short-distance relations dominate and can be resolved by simple features such as word and chunking features, the further dependency tree and parse tree features can only take effect in the remaining much less and more difficult long-distance relations.</S><S sid ="159" ssid = "41">It shows that our system achieves the performance of 84.8%/66.7%/74.7 in precision/recall/F- measure on relation detection.</S><S sid ="190" ssid = "72">2 51 .8 63 .2 67 .1 35 .0 45 .8 Table 5: Comparison of our system with other best-reported systems on the ACE corpus Error Type #Errors first.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 73 |  Reference Article:  P05-1053.xml  |  Citing Article:  W11-1101.xml  |  Citation Marker Offset:  ['203']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['203']  |  Citation Text:  <S sid ="203" ssid = "11">A variety of features have been explored for ERD in previous research (Zhou et al., 2005; Zhou et al., 2008; Jiang and Zhai, 2007; Miller et al., 2000).</S>  | Reference Offset: ['198','166','162',] | Reference Text: <S sid ="198" ssid = "80">Last, effective ways need to be explored to incorporate information embedded in the full Collins M.</S><S sid ="166" ssid = "48">It shows that 73% (627/864) of errors results from relation detection and 27% (237/864) of errors results from relation characterization, among which 17.8% (154/864) of errors are from misclassification across relation types and 9.6% (83/864) # of relations of errors are from misclassification of relation sub- types inside the same relation types.</S><S sid ="162" ssid = "44">It also shows that feature-based methods dramatically outperform kernel methods.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 74 |  Reference Article:  P05-1053.xml  |  Citing Article:  W11-1101.xml  |  Citation Marker Offset:  ['10']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['10']  |  Citation Text:  <S sid ="10" ssid = "10">Researchers have used supervised and semi-supervised approaches (Hasegawa et al., 2004; Mintz et al., 2009; Jiang, 2009), and explored rich features (Kambhatla, 2004), kernel design (Culotta and Sorensen, 2004; Zhou et al., 2005; Bunescu and Mooney, 2005; Qian et al., 2008) and inference algorithms (Chan and Roth, 2011), to detect predefined relations between NEs.</S>  | Reference Offset: ['217','176','35',] | Reference Text: <S sid ="217" ssid = "99">Moreover, our current work is done when the Entity Detection and Tracking (EDT) has been perfectly done.</S><S sid ="176" ssid = "58">4 5 5 . 9 6 2 . 3 Subsid iary 2 7 1 4 2 3 37.</S><S sid ="35" ssid = "6">It achieves 52.8 F- measure on the 24 ACE relation subtypes.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
Citance Number: 75 |  Reference Article:  P05-1053.xml  |  Citing Article:  W11-1815.xml  |  Citation Marker Offset:  ['10']  |  Citation Marker:  Zhou et al., 2005  |  Citation Offset:  ['10']  |  Citation Text:  <S sid ="10" ssid = "10">BB task example Ureaplasma parvum is a mycoplasma and a pathogenic biology challenges (Kim et al., 2010) and geographical locations (Zhou et al., 2005).</S>  | Reference Offset: ['170','177','172',] | Reference Text: <S sid ="170" ssid = "52">6 4 5 . 9 5 8 . 2 Locate d 2 4 1 1 3 2 1 2 0 52.</S><S sid ="177" ssid = "59">8 5 1 . 9 4 3 . 8 R O LE 6 9 9 4 4 3 8 2 84.</S><S sid ="172" ssid = "54">9 2 8 . 8 4 0 . 4 N EA R 3 5 8 1 88.</S> | Discourse Facet: Aim_Citation | Annotator: xukey, WHU |
