Citance Number: 1 | Reference Article:  P98-2143.xml | Citing Article:  A00-1020.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['28','29'] | Citation Text:  <S sid ="28" ssid = "4">Nevertheless, recent results show that knowledge-poor methods perform with amazing acÂ­ curacy (cf.</S><S sid ="29" ssid = "5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset:  ['137', '138', '8', '11'] | Reference Text:  <S sid ="137" ssid = "62">This result is comparable with the results described in (Baldwin 1997).</S><S sid ="138" ssid = "63">For the training data from the genre of technical manuals, it was rule 5 (see Baldwin 1997) which was most frequently used (39% of the cases, 100% success), followed by rule 8 (33% of the cases, 33% success), rule 7 (11%, 100%), rule I (9%, 100%) and rule 3 (7.4%, 100%).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |
Citance Number: 34 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['138'] | Citation Marker:  1998b | Citation Offset:  ['138'] | Citation Text:  <S sid ="138" ssid = "104">pronouns, referential distance, average number of candidates for antecedent per pronoun and types of anaphors.7 As expected, the results reported in Table 1 do not match the original results published by Kennedy and Boguraev (1996), Baldwin (1997) and Mitkov (1998b) where the algorithms were tested on different data, employed different pre-processing tools, resorted to different degrees of manual intervention and thus provided no common ground for any reliable comparison.</S> | Reference Offset:  ['11', '119', '129', '17'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="119" ssid = "44">This measure (Mitkov 1998b) applies only to anaphors &quot;ambiguous&quot; from the point of view of number and gender (i.e. to those &quot;tough&quot; anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S><S sid ="129" ssid = "54">The rela­ tively low figures for the majority of indicators should not be regarded as a surprise: firstly, we should bear in mind that in most cases a candidate was picked (or rejected) as an antecedent on the ba­ sis of applying a number of different indicators and secondly, that most anaphors had a relatively high number of candidates for antecedent.</S><S sid ="17" ssid = "3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re­ maining candidates (see next section).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 35 | Reference Article:  P98-2143.xml | Citing Article:  P01-1006.xml | Citation Marker Offset:  ['8'] | Citation Marker:  1998b | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">Our paper discusses a particular configuration of this new evaluation environment incorporating three approaches sharing a common â€knowledge-poor philosophyâ€: Kennedy and Boguraevâ€™s (1996) parser-free algorithm, Baldwinâ€™s (1997) CogNiac and Mitkovâ€™s (1998b) knowledge-poor approach.</S> | Reference Offset:  ['133', '134', '135', '11'] | Reference Text:  <S sid ="133" ssid = "58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s Cog­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S><S sid ="134" ssid = "59">The reason is that both our approach and Breck Baldwin&apos;s approach share common principles (both are knowledge-poor and use a POS tagger to provide the input) and therefore a comparison would be appropriate.</S><S sid ="135" ssid = "60">Given that our approach is robust and returns an­ tecedent for each pronoun, in order to make the comparison as fair as possible, we used CogNIAC&apos;s &quot;resolve all&quot; version by simulating it manually on the same training data used in evaluation B above.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 36 | Reference Article:  P98-2143.xml | Citing Article:  P03-1023.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['13'] | Citation Text:  <S sid ="13" ssid = "13">Mitkovâ€™s knowledge-poor pronoun resolution method (Mitkov, 1998), for example, uses the scores from a set of antecedent indicators to rank the candidates.</S> | Reference Offset:  ['23', '52', '119', '4'] | Reference Text:  <S sid ="23" ssid = "9">Antecedent indicators (preferences) play a decisive role in tracking down the antecedent from a set of possible candidates.</S><S sid ="52" ssid = "38">The heuristics used is that in constructions of the form &quot;...(You) V 1 NP ... con (you) V 2 it (con (you) V3 it)&quot;, where con e {and/or/before/after...}, the noun phrase immediately after V 1 is a very likely candidate for antecedent of the pronoun &quot;it&quot; imme­ diately following V2 and is therefore given preference (scores 2 and 0).</S><S sid ="119" ssid = "44">This measure (Mitkov 1998b) applies only to anaphors &quot;ambiguous&quot; from the point of view of number and gender (i.e. to those &quot;tough&quot; anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S><S sid ="4" ssid = "4">Input is checked against agreement and for a number of antecedent indicators.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 37 | Reference Article:  P98-2143.xml | Citing Article:  P04-1017.xml | Citation Marker Offset:  ['191'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['191'] | Citation Text:  <S sid ="191" ssid = "5">The coreferential chain length of a candidate, or its variants such as occurrence frequency and TFIDF, has been used as a salience factor in some learning-based reference resolution systems (Iida et al., 2003; Mitkov, 1998; Paul et al., 1999; Strube and Muller, 2003).</S> | Reference Offset:  ['11', '10', '130', '25'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="130" ssid = "55">In terms of frequency of use (&quot;number of nonzero applications&quot;/&quot;number of anaphors&quot;), the most fre­ quently used indicator proved to be referential dis­ tance used in 98.9% of the cases, followed by term preference (97.8%), givenness (83.3%), lexical reit­ eration (64.4%), definiteness (40%), section heading (37.8%), immediate reference (31.1%) and colloca­ tion (11.1%).</S><S sid ="25" ssid = "11">The antecedent indicators have been identi­ fied empirically and are related to salience (definiteness, givenness, indicating verbs, lexical reiteration, section heading preference, &quot;non­ prepositional&quot; noun phrases), to structural matches (collocation, immediate reference), to referential distance or to preference of terms.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 38 | Reference Article:  P98-2143.xml | Citing Article:  P04-1018.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">Early work of anaphora resolution focuses on find ing antecedents of pronouns (Hobbs, 1976; Ge et al., 1998; Mitkov, 1998)</S> | Reference Offset:  ['11', '15', '8', '98'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="98" ssid = "23">In order to evaluate the effectiveness of the ap­ proach and to explore if I how far it is superior over the baseline models for anaphora resolution, we also tested the sample text on (i) a Baseline Model which checks agreement in number and gender and, where more than one candidate remains, picks as antece­ dent the most recent subject matching the gender and number of the anaphor (ii) a Baseline Model which picks as antecedent the most recent noun phrase that matches the gender and number of the anaphor.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 39 | Reference Article:  P98-2143.xml | Citing Article:  P05-1021.xml | Citation Marker Offset:  ['17'] | Citation Marker:  1998 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "17">Indeed, existing learning-based approaches to anaphor resolution have performed reasonably well using limited and shallow knowledge (e.g., Mitkov (1998), Soon et al.</S> | Reference Offset:  ['10', '11', '15', '133'] | Reference Text:  <S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="133" ssid = "58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s Cog­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 40 | Reference Article:  P98-2143.xml | Citing Article:  P05-1021.xml | Citation Marker Offset:  ['97'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['97'] | Citation Text:  <S sid ="97" ssid = "23">ParalStuctmarks whether a candidate and an anaphor have sim StatSemN (C, ana) = c max StatSem(ci , ana) (ana) ilar surrounding words, which is also a salience factor for the candidate evaluation (Mitkov, 1998).</S> | Reference Offset:  ['59', '98', '119', '148'] | Reference Text:  <S sid ="59" ssid = "45">For anaphors in simple sentences, noun phrases in the previous sen­ tence are the best candidate for antecedent, followed by noun phrases situated 2 sentences further back and finally nouns 3 sentences further back {1, 0, -1).</S><S sid ="98" ssid = "23">In order to evaluate the effectiveness of the ap­ proach and to explore if I how far it is superior over the baseline models for anaphora resolution, we also tested the sample text on (i) a Baseline Model which checks agreement in number and gender and, where more than one candidate remains, picks as antece­ dent the most recent subject matching the gender and number of the anaphor (ii) a Baseline Model which picks as antecedent the most recent noun phrase that matches the gender and number of the anaphor.</S><S sid ="119" ssid = "44">This measure (Mitkov 1998b) applies only to anaphors &quot;ambiguous&quot; from the point of view of number and gender (i.e. to those &quot;tough&quot; anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S><S sid ="148" ssid = "9">Similarly to the evaluation for English, we com­ pared the approach for Polish with (i) a Baseline Model which discounts candidates on the basis of agreement in number and gender and, if there were still competing candidates, selects as the antecedent the most recent subject matching the anaphor in gender and number (ii) a Baseline Model which checks agreement in number and gender and, if there were still more than one candidate left, picks up as the antecedent the most recent noun phrase that agrees with the anaphor.</S> | Discourse Facet:  ['Method_Citation', 'Implication_Citation', 'Hypothesis_Citation'] | Annotator:  CIST |


Citance Number: 41 | Reference Article:  P98-2143.xml | Citing Article:  P06-1006.xml | Citation Marker Offset:  ['12'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['12'] | Citation Text:  <S sid ="12" ssid = "12">These features are calculated by mining the parse trees, and then could be used for resolution by using manually designed rules (Lappin and Leass, 1994; Kennedy and Boguraev, 1996; Mitkov, 1998), or using machine-learning methods (Aone and Bennett, 1995; Yang et al., 2004; Luo and Zitouni, 2005).</S> | Reference Offset:  ['11', '8', '10', '143'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="143" ssid = "4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov &amp; Stys 1997).</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 42 | Reference Article:  P98-2143.xml | Citing Article:  P07-1068.xml | Citation Marker Offset:  ['5'] | Citation Marker:  1998 | Citation Offset:  ['5'] | Citation Text:  <S sid ="5" ssid = "5">In knowledge-lean approaches, coreference resolvers employ only morpho-syntactic cues as knowledge sources in the resolution process (e.g., Mitkov (1998), Tetreault (2001)).</S> | Reference Offset:  ['8', '10', '11', '133'] | Reference Text:  <S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="133" ssid = "58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s Cog­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 43 | Reference Article:  P98-2143.xml | Citing Article:  P10-2049.xml | Citation Marker Offset: ['78'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['78'] | Citation Text:  <S sid ="78" ssid = "4">The algorithm with the next-to-highest results in (Char- niak and Elsner, 2009) is MARS (Mitkov, 1998) from the GuiTAR (Poesio and Kabadjov, 2004) toolkit.</S> | Reference Offset:  ['11', '152', '69', '70'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S><S sid ="69" ssid = "55">2.2 Informal description of the algorithm.</S><S sid ="70" ssid = "56">The algorithm for pronoun resolution can be de­ scribed informally as follows: 1.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 44 | Reference Article:  P98-2143.xml | Citing Article:  P13-3012.xml | Citation Marker Offset:  ['15'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['15'] | Citation Text:  <S sid ="15" ssid = "2">While not developed within a graph-based framework, factor-based approaches for pronoun resolution (Mitkov, 1998) can be regarded as greedy clustering in a multigraph, where edges representing factors for pronoun resolution have negative or positive weight.</S> | Reference Offset:  ['11', '15', '3', '8'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="3" ssid = "3">This paper pres­ ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> | Discourse Facet:  ['Method_Citation', 'Implication_Citation', 'Hypothesis_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 45 | Reference Article:  P98-2143.xml | Citing Article:  S10-1019.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['5','6','7'] | Citation Text:  <S sid ="4" ssid = "4">Coreference resolution is a field in which major progress has been made in the last decade.</S><S sid ="5" ssid = "5">After a concentration on rule-based systems (cf.</S><S sid ="6" ssid = "6">e.g.</S><S sid ="7" ssid = "7">(Mitkov, 1998; Poesio et al., 2002; Markert and Nissim, 2005)), machine learning methods were embraced (cf.</S> | Reference Offset:  ['10', '1', '8', '11'] | Reference Text:  <S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="1" ssid = "1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 46 | Reference Article:  P98-2143.xml | Citing Article:  W01-0704.xml | Citation Marker Offset:  ['83'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['82','83'] | Citation Text:  <S sid ="82" ssid = "6">They use limited knowledge (lexical, morphological and syntacticinformation sources) for the detection of the cor rect antecedent.</S><S sid ="83" ssid = "7">These proposals have report high success rates for English (89.7%) (Mitkov, 1998) | Reference Offset:  ['133', '6', '11', '76'] | Reference Text:  <S sid ="133" ssid = "58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s Cog­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S><S sid ="6" ssid = "6">Evaluation reports a success rate of 89.7% which is better than the suc­ cess rates of the approaches selected for comparison and tested on the same data.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="76" ssid = "1">tial candidate and assign scores; the candidate with the highest aggregate score is proposed as 3A sentence splitter would already have segmented the text into sentences, a POS tagger would already have determined the parts of speech and a simple phrasal grammar would already have detected the noun phrases 4In this project we do not treat cataphora; non-anaphoric &quot;it&quot; occurring in constructions such as &quot;It is important&quot;, &quot;It is necessary&quot; is eliminated by a &quot;referential filter&quot; 5Note that this restriction may not always apply in lan­ guages other than English (e.g. German); on the other hand, there are certain collective nouns in English which do not agree in number with their antecedents (e.g. &quot;government&quot;, &quot;team&quot;, &quot;parliament&quot; etc. can be referred to by &quot;they&quot;; equally some plural nouns (e.g. &quot;data&quot;) can be referred to by &quot;it&quot;) and are exempted from the agree­ ment test.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation', 'Implication_Citation'] | Annotator:  CIST |


Citance Number: 47 | Reference Article:  P98-2143.xml | Citing Article:  W01-0717.xml | Citation Marker Offset:  ['145'] | Citation Marker:  Mitkov, 1998b | Citation Offset:  ['145'] | Citation Text:  <S sid ="145" ssid = "1">There are many recent approaches to this prob lem, e. g. syntax-based approaches (Lappin and Leass, 1994), cooccurrence-based approaches(Dagan and Itai, 1990), machine-learning approaches (Connolly et al., 1994; Aone and Ben nett, 1996; Soon et al., 1999), uncertainty reasoning approaches (Mitkov, 1995; Mitkov, 1997), and robust knowledge-poor approaches (Kennedy and Boguarev, 1996; Baldwin, 1997; Mitkov, 1998b; Mitkov, 1999).</S> | Reference Offset:  ['133', '8', '10', '11'] | Reference Text:  <S sid ="133" ssid = "58">tive evaluation of Breck Baldwin&apos;s CogNIAC We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin&apos;s Cog­ NIAC (Baldwin 1997) approach which features &quot;high precision coreference with limited knowledge and linguistics resources&quot;.</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 48 | Reference Article:  P98-2143.xml | Citing Article:  W04-0707.xml | Citation Marker Offset:  ['222'] | Citation Marker:  Mitkov, 1998 | Citation Offset:  ['222'] | Citation Text:  <S sid ="222" ssid = "165">G U I TA R (Poesio and AlexandrovKabadjov, 2004) is a general-purpose anaphoric resolver that includes an implementation of the Vieira / Poesio algorithm for definite descriptions and of Mitkovâ€™s algorithm for pronoun resolution (Mitkov, 1998).</S> | Reference Offset:  ['11', '15', '29', '8'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="15" ssid = "1">With a view to avoiding complex syntactic, seman­ tic and discourse analysis (which is vital for real­ world applications), we developed a robust, knowl­ edge-poor approach to pronoun resolution which does not parse and analyse the input in order to identify antecedents of anaphors.</S><S sid ="29" ssid = "15">We regard a noun phrase as definite if the head noun is modified by a definite article, or by demonstrative or posses­ sive pronouns.</S><S sid ="8" ssid = "8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell &amp; Brown 1988; Carter 1987; Hobbs 1978; Ingria &amp; Stallard 1989; Lappin &amp; McCord 1990; Lappin &amp; Leass 1994; Mitkov 1994; Rich &amp; LuperFoy 1988; Sidner 1979; Webber 1979).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 49 | Reference Article:  P98-2143.xml | Citing Article:  W04-0711.xml | Citation Marker Offset:  ['19'] | Citation Marker:  1998 | Citation Offset:  ['19'] | Citation Text:  <S sid ="19" ssid = "19">(PMID:9701290) Table 1: A protein domain-referring phrase example ments and lexical features, in addressing problems in the biomedical domain (cf.</S><S sid ="20" ssid = "20">Mitkov et al.</S><S sid ="21" ssid = "21">(1998)).</S> | Reference Offset:  ['11', '10', '152', '93'] | Reference Text:  <S sid ="11" ssid = "11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin­ guistic knowledge (Baldwin 1997; Dagan &amp; ltai 1990; Kennedy &amp; Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S><S sid ="10" ssid = "10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se­ mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin &amp; Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro­ cessing of growing language resources.</S><S sid ="152" ssid = "13">We have recently adapted the approach for Ara­ bic as well (Mitkov &amp; Belguith 1998).</S><S sid ="93" ssid = "18">3.1 Evaluation A. Our first evaluation exercise (Mitkov &amp; Stys 1997) was based on a random sample text from a technical manual in English (Minolta 1994).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


