Citance Number: 1 | Reference Article:  P05-1053.xml | Citing Article:  C08-1088.xml | Citation Marker Offset:  ['37'] | Citation Marker: 2005 | Citation Offset:  ['36','37'] | Citation Text:  <S sid ="36" ssid = "2">For those interested in feature-based methods, please refer to Zhou et al.</S><S sid ="37" ssid = "3">(2005) for more details.</S> | Reference Offset:  ['57', '162', '163', '25'] | Reference Text:  <S sid ="57" ssid = "13">For details about SVMLight, please see http://svmlight.joachims.org/</S><S sid ="162" ssid = "44">It also shows that feature-based methods dramatically outperform kernel methods.</S><S sid ="163" ssid = "45">This suggests that feature-based methods can effectively combine different features from a variety of sources (e.g. WordNet and gazetteers) that can be brought to bear on relation extraction.</S><S sid ="25" ssid = "25">Qc 2005 Association for Computational Linguistics ture-based approach outperforms tree kernel-based approaches by 11 F-measure in relation detection and more than 20 F-measure in relation detection and classification on the 5 ACE relation types.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |
Citance Number: 47 | Reference Article:  P05-1053.xml | Citing Article:  P06-1017.xml | Citation Marker Offset:  ['199'] | Citation Marker:  2005 | Citation Offset:  ['198','199'] | Citation Text:  <S sid ="198" ssid = "9">Bootstrapping Currently most of works on the RDC task of ACE focused on supervised learning methods Culotta and Soresen (2004; Kambhatla (2004; Zhou et al.</S><S sid ="199" ssid = "10">(2005).</S> | Reference Offset:  ['25', '164', '44', '43'] | Reference Text:  <S sid ="25" ssid = "25">Qc 2005 Association for Computational Linguistics ture-based approach outperforms tree kernel-based approaches by 11 F-measure in relation detection and more than 20 F-measure in relation detection and classification on the 5 ACE relation types.</S><S sid ="164" ssid = "46">The tree kernels developed in Culotta et al (2004) are yet to be effective on the ACE RDC task.</S><S sid ="44" ssid = "15">It also shows that our system outperforms tree kernel-based systems (Culotta et al 2004) by over 20 F-measure on extracting 5 ACE relation types.</S><S sid ="43" ssid = "14">Evaluation on the ACE corpus shows that our system outperforms Kambhatla (2004) by about 3 F-measure on extracting 24 ACE relation subtypes.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 48 | Reference Article:  P05-1053.xml | Citing Article:  P06-1017.xml | Citation Marker Offset:  ['207'] | Citation Marker:  2005 | Citation Offset:  ['206','207'] | Citation Text:  <S sid ="206" ssid = "17">In the future, we would like to use more effective feature sets Zhou et al.</S><S sid ="207" ssid = "18">(2005) or kernel based similarity measure with LP for relation extraction.</S> | Reference Offset:  ['212', '3', '132', '131'] | Reference Text:  <S sid ="212" ssid = "94">The effective incorporation of diverse features enables our system outperform previously best- reported systems on the ACE corpus.</S><S sid ="3" ssid = "3">Our study illustrates that the base phrase chunking information is very effective for relation extraction and contributes to most of the performance improvement from syntactic aspect while additional information from full parsing gives limited further enhancement.</S><S sid ="132" ssid = "14">It shows that: Features P R F Words 69.2 23.7 35.3 +Entity Type 67.1 32.1 43.4 +Mention Level 67.1 33.0 44.2 +Overlap 57.4 40.9 47.8 +Chunking 61.5 46.5 53.0 +Dependency Tree 62.1 47.2 53.6 +Parse Tree 62.3 47.6 54.0 +Semantic Resources 63.1 49.5 55.5 Table 2: Contribution of different features over 43 relation subtypes in the test data • Using word features only achieves the performance of 69.2%/23.7%/35.3 in precision/recall/F- measure.</S><S sid ="131" ssid = "13">Table 2 also measures the contributions of different features by gradually increasing the feature set.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 49 | Reference Article:  P05-1053.xml | Citing Article:  P06-1104.xml | Citation Marker Offset:  ['35'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['35'] | Citation Text:  <S sid ="35" ssid = "1">Many techniques on relation extraction, such as rule-based (MUC, 19871998; Miller et al., 2000), feature-based (Kambhatla 2004; Zhou et al., 2005) and kernel-based (Zelenko et al., 2003; Culotta and Sorensen, 2004; Bunescu and Mooney, 2005), have been proposed in the literature.</S> | Reference Offset:  ['32', '37', '44', '33'] | Reference Text:  <S sid ="32" ssid = "3">Zelenko et al (2003) proposed extracting relations by computing kernel functions between parse trees.</S><S sid ="37" ssid = "8">Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S><S sid ="44" ssid = "15">It also shows that our system outperforms tree kernel-based systems (Culotta et al 2004) by over 20 F-measure on extracting 5 ACE relation types.</S><S sid ="33" ssid = "4">Culotta et al (2004) extended this work to estimate kernel functions between augmented dependency trees and achieved 63.2 F-measure in relation detection and 45.8 F-measure in relation detection and classification on the 5 ACE relation types.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 50 | Reference Article:  P05-1053.xml | Citing Article:  P06-1104.xml | Citation Marker Offset:  ['39'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['39'] | Citation Text:  <S sid ="39" ssid = "5">Feature-based methods (Kambhatla, 2004; Zhou et al., 2005; Zhao and Grishman, 20052 ) for this task employ a large amount of diverse linguistic features, such as lexical, syntactic and semantic features.</S> | Reference Offset:  ['40', '17', '192', '2'] | Reference Text:  <S sid ="40" ssid = "11">This paper will further explore the feature-based approach with a systematic study on the extensive incorporation of diverse lexical, syntactic and semantic information.</S><S sid ="17" ssid = "17">This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).</S><S sid ="192" ssid = "74">In this paper, we have presented a feature-based approach for relation extraction where diverse lexical, syntactic and semantic knowledge are employed.</S><S sid ="2" ssid = "2">This paper investigates the incorporation of diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using SVM.</S> | Discourse Facet:  ['Method_Citation', 'Implication_Citation'] | Annotator:  CIST |


Citance Number: 51 | Reference Article:  P05-1053.xml | Citing Article:  P06-2012.xml | Citation Marker Offset:  ['5'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['5'] | Citation Text:  <S sid ="5" ssid = "5">Many methods have been proposed to deal with this task, including supervised learning algorithms (Miller et al., 2000; Zelenko et al., 2002; Culotta and Soresen, 2004; Kambhatla, 2004; Zhou et al., 2005), semi-supervised learning algorithms (Brin, 1998; Agichtein and Gravano, 2000; Zhang, 2004), and unsupervised learning algorithm (Hasegawa et al., 2004).</S> | Reference Offset:  ['45', '37', '31', '33'] | Reference Text:  <S sid ="45" ssid = "1">Support Vector Machines (SVMs) are a supervised machine learning technique motivated by the statistical learning theory (Vapnik 1998).</S><S sid ="37" ssid = "8">Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S><S sid ="31" ssid = "2">Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees.</S><S sid ="33" ssid = "4">Culotta et al (2004) extended this work to estimate kernel functions between augmented dependency trees and achieved 63.2 F-measure in relation detection and 45.8 F-measure in relation detection and classification on the 5 ACE relation types.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 52 | Reference Article:  P05-1053.xml | Citing Article:  P08-2023.xml | Citation Marker Offset:  ['29'] | Citation Marker:  2005 | Citation Offset:  ['29','30'] | Citation Text:  <S sid ="29" ssid = "9">Based on his work, Zhou et al (2005)</S><S sid ="30" ssid = "10">further incorporated the base phrase chunking information and semi-automatically collected country name list and personal relative trigger word list.</S> | Reference Offset:  ['86', '193', '155', '102'] | Reference Text:  <S sid ="86" ssid = "29">In this paper, we separate the features of base phrase chunking from those of full parsing.</S><S sid ="193" ssid = "75">Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.</S><S sid ="155" ssid = "37">This is largely due to incorporation of two semantic resources, i.e. the country name list and the personal relative trigger word list.</S><S sid ="102" ssid = "45">Two features are defined to include this information: • ET1Country: the entity type of M1 when M2 is a country name • CountryET2: the entity type of M2 when M1 is a country name 5 http://ilk.kub.nl/~sabine/chunklink/ Personal Relative Trigger Word List This is used to differentiate the six personal social relation subtypes in ACE: Parent, Grandparent, Spouse, Sibling, Other-Relative and Other- Personal.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 53 | Reference Article:  P05-1053.xml | Citing Article:  P09-1113.xml | Citation Marker Offset:  ['39'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['39'] | Citation Text:  <S sid ="39" ssid = "39">While syntactic features are known to improve the performance of supervised IE, at least using clean hand-labeled ACE data (Zhou et al., 2007; Zhou et al., 2005), we do not know whether syntactic features can improve the performance of unsupervised or distantly supervised IE.</S> | Reference Offset:  ['130', '132', '193', '17'] | Reference Text:  <S sid ="130" ssid = "12">It shows that our system achieves best performance of 63.1%/49.5%/ 55.5 in precision/recall/F-measure when combining diverse lexical, syntactic and semantic features.</S><S sid ="132" ssid = "14">It shows that: Features P R F Words 69.2 23.7 35.3 +Entity Type 67.1 32.1 43.4 +Mention Level 67.1 33.0 44.2 +Overlap 57.4 40.9 47.8 +Chunking 61.5 46.5 53.0 +Dependency Tree 62.1 47.2 53.6 +Parse Tree 62.3 47.6 54.0 +Semantic Resources 63.1 49.5 55.5 Table 2: Contribution of different features over 43 relation subtypes in the test data • Using word features only achieves the performance of 69.2%/23.7%/35.3 in precision/recall/F- measure.</S><S sid ="193" ssid = "75">Instead of exploring the full parse tree information directly as previous related work, we incorporate the base phrase chunking information performance improvement from syntactic aspect while further incorporation of the parse tree and dependence tree information only slightly improves the performance.</S><S sid ="17" ssid = "17">This paper focuses on the ACE RDC task and employs diverse lexical, syntactic and semantic knowledge in feature-based relation extraction using Support Vector Machines (SVMs).</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 54 | Reference Article:  P05-1053.xml | Citing Article:  P09-1113.xml | Citation Marker Offset:  ['52'] | Citation Marker:  2005 | Citation Offset:  ['50','51','52'] | Citation Text:  <S sid ="50" ssid = "10">More recent approaches have used deeper syntactic information derived from parses of the input sentences, including work exploiting syntactic dependencies by Lin and Pantel (2001) and Snow et al.</S><S sid ="51" ssid = "11">(2005), and work in the ACE paradigm such as Zhou et al.</S><S sid ="52" ssid = "12">(2005) and Zhou et al.</S><S sid ="53" ssid = "13">(2007).</S> | Reference Offset:  ['25', '33', '39', '24'] | Reference Text:  <S sid ="25" ssid = "25">Qc 2005 Association for Computational Linguistics ture-based approach outperforms tree kernel-based approaches by 11 F-measure in relation detection and more than 20 F-measure in relation detection and classification on the 5 ACE relation types.</S><S sid ="33" ssid = "4">Culotta et al (2004) extended this work to estimate kernel functions between augmented dependency trees and achieved 63.2 F-measure in relation detection and 45.8 F-measure in relation detection and classification on the 5 ACE relation types.</S><S sid ="39" ssid = "10">Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model.</S><S sid ="24" ssid = "24">427 Proceedings of the 43rd Annual Meeting of the ACL, pages 427–434, Ann Arbor, June 2005.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 55 | Reference Article:  P05-1053.xml | Citing Article:  P09-1114.xml | Citation Marker Offset:  ['25'] | Citation Marker:  2005 | Citation Offset:  ['23','24','25'] | Citation Text:  <S sid ="23" ssid = "1">Recent work on relation extraction has been dominated by feature-based and kernel-based supervised learning methods.</S><S sid ="24" ssid = "2">Zhou et al.</S><S sid ="25" ssid = "3">(2005) and Zhao and Grishman (2005) studied various features and feature combinations for relation extraction.</S> | Reference Offset:  ['5', '3', '215', '216'] | Reference Text:  <S sid ="5" ssid = "5">We also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S><S sid ="3" ssid = "3">Our study illustrates that the base phrase chunking information is very effective for relation extraction and contributes to most of the performance improvement from syntactic aspect while additional information from full parsing gives limited further enhancement.</S><S sid ="215" ssid = "97">The experiment result also shows that our feature-based approach outperforms the tree kernel-based approaches by more than 20 F-measure on the extraction of 5 ACE relation types.</S><S sid ="216" ssid = "98">In the future work, we will focus on exploring more semantic knowledge in relation extraction, which has not been covered by current research.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 56 | Reference Article:  P05-1053.xml | Citing Article:  P09-1114.xml | Citation Marker Offset:  ['7'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Recent work on relation extraction has shown that supervised machine learning coupled with intelligent feature engineering or kernel design provides state-of-the-art solutions to the problem (Culotta and Sorensen, 2004; Zhou et al., 2005; Bunescu and Mooney, 2005; Qian et al., 2008).</S> | Reference Offset:  ['44', '37', '34', '36'] | Reference Text:  <S sid ="44" ssid = "15">It also shows that our system outperforms tree kernel-based systems (Culotta et al 2004) by over 20 F-measure on extracting 5 ACE relation types.</S><S sid ="37" ssid = "8">Tree kernel-based approaches proposed by Zelenko et al (2003) and Culotta et al (2004) are able to explore the implicit feature space without much feature engineering.</S><S sid ="34" ssid = "5">Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S><S sid ="36" ssid = "7">Zhang (2004) approached relation classification by combining various lexical and syntactic features with bootstrapping on top of Support Vector Machines.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 57 | Reference Article:  P05-1053.xml | Citing Article:  P11-1053.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Then the feature based method explicitly extracts a variety of lexical, syntactic and semantic features for statistical learning, either generative or discriminative (Miller et al., 2000; Kambhatla, 2004; Boschee et al., 2005; Grishman et al., 2005; Zhou et al., 2005; Jiang and Zhai, 2007).</S> | Reference Offset:  ['41', '31', '130', '36'] | Reference Text:  <S sid ="41" ssid = "12">Compared with Kambhatla (2004), we separately incorporate the base phrase chunking information, which contributes to most of the performance improvement from syntactic aspect.</S><S sid ="31" ssid = "2">Miller et al (2000) augmented syntactic full parse trees with semantic information corresponding to entities and relations, and built generative models for the augmented trees.</S><S sid ="130" ssid = "12">It shows that our system achieves best performance of 63.1%/49.5%/ 55.5 in precision/recall/F-measure when combining diverse lexical, syntactic and semantic features.</S><S sid ="36" ssid = "7">Zhang (2004) approached relation classification by combining various lexical and syntactic features with bootstrapping on top of Support Vector Machines.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 58 | Reference Article:  P05-1053.xml | Citing Article:  P11-1053.xml | Citation Marker Offset:  ['81'] | Citation Marker:  2005 | Citation Offset:  ['80','81'] | Citation Text:  <S sid ="80" ssid = "44">We first adopted the full feature set from Zhou et al.</S><S sid ="81" ssid = "45">(2005), a state-of-the-art feature based relation extraction system.</S> | Reference Offset:  ['86', '34', '6', '132'] | Reference Text:  <S sid ="86" ssid = "29">In this paper, we separate the features of base phrase chunking from those of full parsing.</S><S sid ="34" ssid = "5">Kambhatla (2004) employed Maximum Entropy models for relation extraction with features derived from word, entity type, mention level, overlap, dependency tree and parse tree.</S><S sid ="6" ssid = "6">Evaluation on the ACE corpus shows that effective incorporation of diverse features enables our system outperform previously best-reported systems on the 24 ACE relation subtypes and significantly outperforms tree kernel-based systems by over 20 in F-measure on the 5 ACE relation types.</S><S sid ="132" ssid = "14">It shows that: Features P R F Words 69.2 23.7 35.3 +Entity Type 67.1 32.1 43.4 +Mention Level 67.1 33.0 44.2 +Overlap 57.4 40.9 47.8 +Chunking 61.5 46.5 53.0 +Dependency Tree 62.1 47.2 53.6 +Parse Tree 62.3 47.6 54.0 +Semantic Resources 63.1 49.5 55.5 Table 2: Contribution of different features over 43 relation subtypes in the test data • Using word features only achieves the performance of 69.2%/23.7%/35.3 in precision/recall/F- measure.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 59 | Reference Article:  P05-1053.xml | Citing Article:  P11-1053.xml | Citation Marker Offset:  ['86'] | Citation Marker:  2005 | Citation Offset:  ['85','86'] | Citation Text:  <S sid ="85" ssid = "49">In addition, we cherry-picked the following features which were not included in Zhou et al.</S><S sid ="86" ssid = "50">(2005) but were shown to be quite effective for relation extraction.</S> | Reference Offset:  ['215', '132', '80', '4'] | Reference Text:  <S sid ="215" ssid = "97">The experiment result also shows that our feature-based approach outperforms the tree kernel-based approaches by more than 20 F-measure on the extraction of 5 ACE relation types.</S><S sid ="132" ssid = "14">It shows that: Features P R F Words 69.2 23.7 35.3 +Entity Type 67.1 32.1 43.4 +Mention Level 67.1 33.0 44.2 +Overlap 57.4 40.9 47.8 +Chunking 61.5 46.5 53.0 +Dependency Tree 62.1 47.2 53.6 +Parse Tree 62.3 47.6 54.0 +Semantic Resources 63.1 49.5 55.5 Table 2: Contribution of different features over 43 relation subtypes in the test data • Using word features only achieves the performance of 69.2%/23.7%/35.3 in precision/recall/F- measure.</S><S sid ="80" ssid = "23">This category of features includes: • #MB: number of other mentions in between • #WB: number of words in between • M1&gt;M2 or M1&lt;M2: flag indicating whether M2/M1is included in M1/M2.</S><S sid ="4" ssid = "4">This suggests that most of useful information in full parse trees for relation extraction is shallow and can be captured by chunking.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 60 | Reference Article:  P05-1053.xml | Citing Article:  P11-1053.xml | Citation Marker Offset:  ['193'] | Citation Marker:  2005 | Citation Offset:  ['193'] | Citation Text:  <S sid ="193" ssid = "157">Zhou et al.</S><S sid ="194" ssid = "158">(2005) tested their system on the ACE 2003 data;.</S> | Reference Offset:  ['129', '44', '184', '212'] | Reference Text:  <S sid ="129" ssid = "11">Table 2 measures the performance of our relation extrac tion system over the 43 ACE relation subtypes on the testing set.</S><S sid ="44" ssid = "15">It also shows that our system outperforms tree kernel-based systems (Culotta et al 2004) by over 20 F-measure on extracting 5 ACE relation types.</S><S sid ="184" ssid = "66">3 5 5 . 2 4 1 . 6 Parent 2 5 1 7 0 10 0 6 8 . 0 8 1 . 0 System Table 4: Performa nce of different relation types and major subtypes in the test data R e l a t i o n D e t e c t i o n R D C o n T y p e s R D C o n S u b t y p e s P R F P R F P R F Ou rs: fea ture bas ed 8 4.</S><S sid ="212" ssid = "94">The effective incorporation of diverse features enables our system outperform previously best- reported systems on the ACE corpus.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 61 | Reference Article:  P05-1053.xml | Citing Article:  P11-1056.xml | Citation Marker Offset:  ['11'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">However, most approaches to RE have assumed that the relationsâ€™ arguments are given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Jiang, 2009; Zhou et al., 2005), and therefore offer only a partial solution to the problem.</S> | Reference Offset:  ['214', '25', '38', '39'] | Reference Text:  <S sid ="214" ssid = "96">Evaluation on the ACE RDC task shows that our approach of combining various kinds of evidence can scale better to problems, where we have a lot of relation types with a relatively small amount of annotated data.</S><S sid ="25" ssid = "25">Qc 2005 Association for Computational Linguistics ture-based approach outperforms tree kernel-based approaches by 11 F-measure in relation detection and more than 20 F-measure in relation detection and classification on the 5 ACE relation types.</S><S sid ="38" ssid = "9">Yet further research work is still expected to make it effective with complicated relation extraction tasks such as the one defined in ACE.</S><S sid ="39" ssid = "10">Complicated relation extraction tasks may also impose a big challenge to the modeling approach used by Miller et al (2000) which integrates various tasks such as part-of-speech tagging, named entity recognition, template element extraction and relation extraction, in a single model.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 62 | Reference Article:  P05-1053.xml | Citing Article:  P11-1056.xml | Citation Marker Offset:  ['58'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['58'] | Citation Text:  <S sid ="58" ssid = "19">Most prior RE evaluation on ACE data assumed that mentions are already pre-annotated and given as input (Chan and Roth, 2010; Jiang and Zhai, 2007; Zhou et al., 2005).</S> | Reference Offset:  ['214', '128', '43', '213'] | Reference Text:  <S sid ="214" ssid = "96">Evaluation on the ACE RDC task shows that our approach of combining various kinds of evidence can scale better to problems, where we have a lot of relation types with a relatively small amount of annotated data.</S><S sid ="128" ssid = "10">In this paper, we only measure the performance of relation extraction on “true” mentions with “true” chaining of coreference (i.e. as annotated by the corpus annotators) in the ACE corpus.</S><S sid ="43" ssid = "14">Evaluation on the ACE corpus shows that our system outperforms Kambhatla (2004) by about 3 F-measure on extracting 24 ACE relation subtypes.</S><S sid ="213" ssid = "95">Although tree kernel-based approaches facilitate the exploration of the implicit feature space with the parse tree structure, yet the current technologies are expected to be further advanced to be effective for relatively complicated relation extraction tasks such as the one defined in ACE where 5 types and 24 subtypes need to be extracted.</S> | Discourse Facet:  ['Method_Citation', 'Aim_Citation'] | Annotator:  CIST |


Citance Number: 63 | Reference Article:  P05-1053.xml | Citing Article:  P11-3012.xml | Citation Marker Offset:  ['34'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['34'] | Citation Text:  <S sid ="34" ssid = "7">We used Zhou et al.â€™s lexical features (Zhou et al., 2005) as the basis for the features of our system similar to what other researchers have done (Chan and Roth, 2010).</S> | Reference Offset:  ['130', '212', '132', '36'] | Reference Text:  <S sid ="130" ssid = "12">It shows that our system achieves best performance of 63.1%/49.5%/ 55.5 in precision/recall/F-measure when combining diverse lexical, syntactic and semantic features.</S><S sid ="212" ssid = "94">The effective incorporation of diverse features enables our system outperform previously best- reported systems on the ACE corpus.</S><S sid ="132" ssid = "14">It shows that: Features P R F Words 69.2 23.7 35.3 +Entity Type 67.1 32.1 43.4 +Mention Level 67.1 33.0 44.2 +Overlap 57.4 40.9 47.8 +Chunking 61.5 46.5 53.0 +Dependency Tree 62.1 47.2 53.6 +Parse Tree 62.3 47.6 54.0 +Semantic Resources 63.1 49.5 55.5 Table 2: Contribution of different features over 43 relation subtypes in the test data • Using word features only achieves the performance of 69.2%/23.7%/35.3 in precision/recall/F- measure.</S><S sid ="36" ssid = "7">Zhang (2004) approached relation classification by combining various lexical and syntactic features with bootstrapping on top of Support Vector Machines.</S> | Discourse Facet:  ['Aim_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 64 | Reference Article:  P05-1053.xml | Citing Article:  P11-3012.xml | Citation Marker Offset:  ['47'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['47'] | Citation Text:  <S sid ="47" ssid = "4">Although a bit lower than Zhou et al.â€™s result of 55.5 (Zhou et al., 2005), we attribute the difference to our use of a different tokenizer, different parser, and having not used the semantic information features.</S> | Reference Offset:  ['100', '5', '211', '106'] | Reference Text:  <S sid ="100" ssid = "43">Semantic information from various resources, such as WordNet, is used to classify important words into different semantic lists according to their indicating relationships.</S><S sid ="5" ssid = "5">We also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S><S sid ="211" ssid = "93">Besides, we also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S><S sid ="106" ssid = "49">Two features are defined to include this information: • ET1SC2: combination of the entity type of M1 and the semantic class of M2 when M2 triggers a personal social subtype.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 65 | Reference Article:  P05-1053.xml | Citing Article:  P11-3012.xml | Citation Marker Offset:  ['47'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['47'] | Citation Text:  <S sid ="47" ssid = "4">Although a bit lower than Zhou et al.â€™s result of 55.5 (Zhou et al., 2005), we attribute the difference to our use of a different tokenizer, different parser, and having not used the semantic information features.</S> | Reference Offset:  ['100', '5', '211', '106'] | Reference Text:  <S sid ="100" ssid = "43">Semantic information from various resources, such as WordNet, is used to classify important words into different semantic lists according to their indicating relationships.</S><S sid ="5" ssid = "5">We also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S><S sid ="211" ssid = "93">Besides, we also demonstrate how semantic information such as WordNet and Name List, can be used in feature-based relation extraction to further improve the performance.</S><S sid ="106" ssid = "49">Two features are defined to include this information: • ET1SC2: combination of the entity type of M1 and the semantic class of M2 when M2 triggers a personal social subtype.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 66 | Reference Article:  P05-1053.xml | Citing Article:  P13-1147.xml | Citation Marker Offset:  ['167'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['167'] | Citation Text:  <S sid ="167" ssid = "10">This is slightly behind that of Zhang (2006); the reason might be threefold: i) different data partitioning; ii) different pre-processing; iii) they incorporate features from additional sources, i.e. a phrase chunker, dependency parser and semantic resources (Zhou et al., 2005) (we have on average 9 features/instance, they use 40).</S> | Reference Offset:  ['93', '132', '100', '131'] | Reference Text:  <S sid ="93" ssid = "36">This category of features includes information about the words, part-of-speeches and phrase labels of the words on which the mentions are dependent in the dependency tree derived from the syntactic full parse tree.</S><S sid ="132" ssid = "14">It shows that: Features P R F Words 69.2 23.7 35.3 +Entity Type 67.1 32.1 43.4 +Mention Level 67.1 33.0 44.2 +Overlap 57.4 40.9 47.8 +Chunking 61.5 46.5 53.0 +Dependency Tree 62.1 47.2 53.6 +Parse Tree 62.3 47.6 54.0 +Semantic Resources 63.1 49.5 55.5 Table 2: Contribution of different features over 43 relation subtypes in the test data • Using word features only achieves the performance of 69.2%/23.7%/35.3 in precision/recall/F- measure.</S><S sid ="100" ssid = "43">Semantic information from various resources, such as WordNet, is used to classify important words into different semantic lists according to their indicating relationships.</S><S sid ="131" ssid = "13">Table 2 also measures the contributions of different features by gradually increasing the feature set.</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 67 | Reference Article:  P05-1053.xml | Citing Article:  W06-1634.xml | Citation Marker Offset:  ['9'] | Citation Marker:  Zhou et al., 2005 | Citation Offset:  ['9'] | Citation Text:  <S sid ="9" ssid = "9">Techniques based on machine learning (Zhou et al., 2005; Hao et al., 2005; Bunescu and Mooney, 2006) are expected to alleviate this problem in manually crafted IE.</S> | Reference Offset:  ['45', '52', '30', '46'] | Reference Text:  <S sid ="45" ssid = "1">Support Vector Machines (SVMs) are a supervised machine learning technique motivated by the statistical learning theory (Vapnik 1998).</S><S sid ="52" ssid = "8">The reason why we choose SVMs for this purpose is that SVMs represent the state-of–the-art in the machine learning research community, and there are good implementations of the algorithm available.</S><S sid ="30" ssid = "1">The relation extraction task was formulated at the 7th Message Understanding Conference (MUC7 1998) and is starting to be addressed more and more within the natural language processing and machine learning communities.</S><S sid ="46" ssid = "2">Based on the structural risk minimization of the statistical learning theory, SVMs seek an optimal separating hyper-plane to divide the training examples into two classes and make decisions based on support vectors which are selected as the only effective instances in the training set.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


