Citance Number: 1 | Reference Article:  J96-3004.xml | Citing Article:  A00-2032.xml | Citation Marker Offset:  ['142'] | Citation Marker:  1996 | Citation Offset:  ['141','142'] | Citation Text:  <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÂ­ proach.</S> | Reference Offset:  ['128', '88', '91', '458'] | Reference Text:  <S sid ="128" ssid = "66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S><S sid ="88" ssid = "26">There is a sizable literature on Chinese word segmentation: recent reviews include Wang, Su, and Mo (1990) and Wu and Tseng (1993).</S><S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S><S sid ="458" ssid = "4">As described in Sproat (1995), the Chinese segmenter presented here fits directly into the context of a broader finite-state model of text analysis for speech synthesis.</S> | Discourse Facet:  ['Results_Citation', 'Method_Citation'] | Annotator:  CIST |
Citance Number: 39 | Reference Article:  J96-3004.xml | Citing Article:  P98-1076.xml | Citation Marker Offset:  ['145'] | Citation Marker:  1996 | Citation Offset:  ['144','145'] | Citation Text:  <S sid ="144" ssid = "11">The actual implementation of the weighted finiteÂ­ state transducer by Sproat et al.</S><S sid ="145" ssid = "12">(1996) can be taken as an evidence that the hypothesis of one tokenization per source has already in practical use.</S> | Reference Offset:  ['459', '33', '136', '138'] | Reference Text:  <S sid ="459" ssid = "5">Furthermore, by inverting the transducer so that it maps from phonemic transcriptions to hanzi sequences, one can apply the segmenter to other problems, such as speech recognition (Pereira, Riley, and Sproat 1994).</S><S sid ="33" ssid = "33">Thus, if one wants to segment words-for any purpose-from Chinese sentences, one faces a more difficult task than one does in English since one cannot use spacing as a guide.</S><S sid ="136" ssid = "74">Furthermore, even the size of the dictionary per se is less important than the appropriateness of the lexicon to a particular test corpus: as Fung and Wu (1994) have shown, one can obtain substantially better segmentation by tailoring the lexicon to the corpus to be segmented.</S><S sid ="138" ssid = "2">More formally, we start by representing the dictionary D as a Weighted Finite State Trans­ ducer (WFST) (Pereira, Riley, and Sproat 1994).</S> | Discourse Facet:  ['Method_Citation', 'Results_Citation'] | Annotator:  CIST |


Citance Number: 40 | Reference Article:  J96-3004.xml | Citing Article:  P98-1076.xml | Citation Marker Offset:  ['150'] | Citation Marker:  1996 | Citation Offset:  ['149','150'] | Citation Text:  <S sid ="149" ssid = "2">utilizing local and sentential constraints, what Sproat et al.</S><S sid ="150" ssid = "3">( 1996) implemented was simply a token unigram scoring function.</S> | Reference Offset:  ['141', '421', '439', '49'] | Reference Text:  <S sid ="141" ssid = "5">Next, we represent the input sentence as an unweighted finite-state acceptor (FSA) I over H. Let us assume the existence of a function Id, which takes as input an FSA A, and produces as output a transducer that maps all and only the strings of symbols accepted by A to themselves (Kaplan and Kay 1994).</S><S sid ="421" ssid = "24">For example, as Gan (1994) has noted, one can construct examples where the segmen­ tation is locally ambiguous but can be determined on the basis of sentential or even discourse context.</S><S sid ="439" ssid = "42">Clearly it is possible to write a rule that states that if an analysis Modal+ Verb is available, then that is to be preferred over Noun+ Verb: such a rule could be stated in terms of (finite-state) local grammars in the sense of Mohri (1993).</S><S sid ="49" ssid = "10">It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 41 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['5','6'] | Citation Text:  <S sid ="5" ssid = "5">In Japanese, around 95% word segmentation acÂ­ curacy is reported by using a word-based lanÂ­ guage model and the Viterbi-like dynamic programÂ­ ming procedures (Nagata, 1994; Yamamoto, 1996; Takeuchi and Matsumoto, 1997; Haruno and MatÂ­ sumoto, 1997).</S><S sid ="6" ssid = "6">About the same accuracy is reported in Chinese by statistical methods (Sproat et al., 1996).</S> | Reference Offset:  ['23', '128', '54', '91'] | Reference Text:  <S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="128" ssid = "66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S><S sid ="54" ssid = "15">A minimal requirement for building a Chinese word segmenter is obviously a dictionary; furthermore, as has been argued persuasively by Fung and Wu (1994), one will perform much better at segmenting text by using a dictionary constructed with text of the same genre as the text to be segmented.</S><S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 42 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">There are two approaches to solve this problem: to increase the coverage of the dictionary (Fung and Wu, 1994; Chang et al., 1995; Mori and Nagao, 1996) and to design a better model for unknown words (Nagata, 1996; Sproat et al., 1996).</S> | Reference Offset:  ['23', '54', '124', '244'] | Reference Text:  <S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="54" ssid = "15">A minimal requirement for building a Chinese word segmenter is obviously a dictionary; furthermore, as has been argued persuasively by Fung and Wu (1994), one will perform much better at segmenting text by using a dictionary constructed with text of the same genre as the text to be segmented.</S><S sid ="124" ssid = "62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S><S sid ="244" ssid = "108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 43 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">To improve word segmentaÂ­ tion accuracy, (Nagata, 1996) used a single general purpose unknown word model, while (Sproat et al., 1996) used a set of specific word models such as for plurals, personal names, and transliterated foreign words.</S> | Reference Offset:  ['170', '242', '19', '200'] | Reference Text:  <S sid ="170" ssid = "34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S><S sid ="242" ssid = "106">The first probability is estimated from a name count in a text database, and the rest of the probabilities are estimated from a large list of personal names.n Note that in Chang et al.&apos;s model the p(rule 9) is estimated as the product of the probability of finding G 1 in the first position of a two-hanzi given name and the probability of finding G2 in the second position of a two-hanzi given name, and we use essentially the same estimate here, with some modifications as described later on.</S><S sid ="19" ssid = "19">Whether a language even has orthographic words is largely dependent on the writing system used to represent the language (rather than the language itself); the notion &quot;orthographic word&quot; is not universal.</S><S sid ="200" ssid = "64">However, for our purposes it is not sufficient to repre­ sent the morphological decomposition of, say, plural nouns: we also need an estimate of the cost of the resulting word.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 44 | Reference Article:  J96-3004.xml | Citing Article:  P99-1036.xml | Citation Marker Offset:  ['178'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['178'] | Citation Text:  <S sid ="178" ssid = "108">Word segmentation accuracy is expressed in terms of recall and precision as is done in the previous research (Sproat et al., 1996).</S> | Reference Offset:  ['357', '128', '296', '405'] | Reference Text:  <S sid ="357" ssid = "66">Interestingly, Chang et al. report 80.67% recall and 91.87% precision on an 11,000 word corpus: seemingly, our system finds as many names as their system, but with four times as many false hits.</S><S sid ="128" ssid = "66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S><S sid ="296" ssid = "5">Previous reports on Chinese segmentation have invariably cited performance either in terms of a single percent-correct score, or else a single precision-recall pair.</S><S sid ="405" ssid = "8">First of all, most previous articles report perfor­ mance in terms of a single percent-correct score, or else in terms of the paired measures of precision and recall.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 45 | Reference Article:  J96-3004.xml | Citing Article:  W00-0803.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['29'] | Citation Text:  <S sid ="29" ssid = "29">Segmentation rutd morphological analysis related issues of both Chinese and Japanese are intensively addressed elsewhere (Sproat et al., 1996; MatsUIIt(ltO et al., 1997 and many others).</S> | Reference Offset:  ['23', '20', '24', '115'] | Reference Text:  <S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="24" ssid = "24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S><S sid ="115" ssid = "53">Others depend upon various lexical heuris­ tics: for example Chen and Liu (1992) attempt to balance the length of words in a three-word window, favoring segmentations that give approximately equal length for each word.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 46 | Reference Article:  J96-3004.xml | Citing Article:  W00-1207.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sproat et al 1996 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">Purely statistical methods of word segmentation (e.g. de Marcken 1996, Sproat et al 1996, Tung and Lee 1994, Lin et al (1993), Chiang et al (1992), Lua, Huang et al, etc.) often fail to identify those words because of the sparse data problem, as the likelihood for those words to appear in the training texts is extremely low.</S> | Reference Offset:  ['124', '122', '125', '49'] | Reference Text:  <S sid ="124" ssid = "62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S><S sid ="122" ssid = "60">Several papers report the use of part-of-speech information to rank segmentations (Lin, Chiang, and Su 1993; Peng and Chang 1993; Chang and Chen 1993); typically, the probability of a segmentation is multiplied by the probability of the tagging(s) for that segmentation to yield an estimate of the total probability for the analysis.</S><S sid ="125" ssid = "63">Some of these approaches (e.g., Lin, Chiang, and Su [1993]) attempt to identify unknown words, but do not ac­ tually tag the words as belonging to one or another class of expression.</S><S sid ="49" ssid = "10">It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 47 | Reference Article:  J96-3004.xml | Citing Article:  W01-0513.xml | Citation Marker Offset:  ['41'] | Citation Marker:  Sproat, et al, 1996 | Citation Offset:  ['40','41'] | Citation Text:  <S sid ="40" ssid = "11">The principal work on segmentation has focused either on identifying words in phonetic streams (Saffran, et.</S><S sid ="41" ssid = "12">al, 1996; Brent, 1996; de Marcken, 1996) or on tokenizing Asian and Indian languages that do not normally include word delimiters in their orthography (Sproat, et al, 1996; Ponte and Croft 1996; Shimohata, 1997; Teahan, et al., 2000; and many others).</S> | Reference Offset:  ['20', '159', '395', '39'] | Reference Text:  <S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="159" ssid = "23">Note that hanzi that are not grouped into dictionary words (and are not identified as single­ hanzi words), or into one of the other categories of words discussed in this paper, are left unattached and tagged as unknown words.</S><S sid ="395" ssid = "104">In Table 5 we present results from small test cor­ pora for the productive affixes handled by the current version of the system; as with names, the segmentation of morphologically derived words is generally either right or wrong.</S><S sid ="39" ssid = "39">pronunciation depends upon word affiliation: tfJ is pronounced deO when it is a prenominal modification marker, but di4 in the word §tfJ mu4di4 &apos;goal&apos;; fl; is normally ganl &apos;dry,&apos; but qian2 in a person&apos;s given name.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 48 | Reference Article:  J96-3004.xml | Citing Article:  W02-1117.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Sproat et al. 1996 | Citation Offset:  ['13'] | Citation Text:  <S sid ="13" ssid = "13">For examples: these words should be obtained: The ambiguous string is .There are some methods to resolve this problem: the one is the method forward maximum matching, backward maximum matching and minimum matching are used to find out the possible word strings from the character string [Guo 1997; Sproat et al. 1996; Gu and Mao 1994; Li et al. 1991; Wang et al. 1991b; Wang et al. 1990].</S> | Reference Offset:  ['20', '23', '108', '109'] | Reference Text:  <S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="108" ssid = "46">The most popular approach to dealing with seg­ mentation ambiguities is the maximum matching method, possibly augmented with further heuristics.</S><S sid ="109" ssid = "47">This method, one instance of which we term the &quot;greedy algorithm&quot; in our evaluation of our own system in Section 5, involves starting at the beginning (or end) of the sentence, finding the longest word starting (ending) at that point, and then repeating the process starting at the next (previous) hanzi until the end (begin­ ning) of the sentence is reached.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 49 | Reference Article:  J96-3004.xml | Citing Article:  W02-1808.xml | Citation Marker Offset:  ['5'] | Citation Marker:  1996 | Citation Offset:  ['5'] | Citation Text:  <S sid ="5" ssid = "5">Statistical approaches involve language mod els mostly finite-state ones trained on some large-scale corpora as showed in Fan and Tsai (1988) Chang et al (1991) Chiang et al (1992) Sproat et al (1996)</S> | Reference Offset:  ['119', '124', '49', '120'] | Reference Text:  <S sid ="119" ssid = "57">The simplest approach involves scoring the various analyses by costs based on word frequency, and picking the lowest cost path; variants of this approach have been described in Chang, Chen, and Chen (1991) and Chang and Chen (1993).</S><S sid ="124" ssid = "62">Several systems propose statistical methods for handling unknown words (Chang et al. 1992; Lin, Chiang, and Su 1993; Peng and Chang 1993).</S><S sid ="49" ssid = "10">It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S><S sid ="120" ssid = "58">More complex approaches such as the relaxation technique have been applied to this problem Fan and Tsai (1988}.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 50 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['17'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "17">There are multiple studies (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) showing that the agreement between two (untrained) native speakers is about upper to lower</S> | Reference Offset:  ['244', '342', '367', '49'] | Reference Text:  <S sid ="244" ssid = "108">This WFST is then summed with the WFST implementing the dictionary and morphological rules, and the transitive closure of the resulting transducer is computed; see Pereira, Riley, and Sproat (1994) for an explanation of the notion of summing WFSTs.12 Conceptual Improvements over Chang et al.&apos;s Model.</S><S sid ="342" ssid = "51">&quot;c&apos; 0 + 0 &quot;0 &apos; • + a n t i g r e e d y x g r e e d y &lt; &gt; c u r r e n t m e t h o d o d i e t . o n l y • Taiwan 0 ·;; 0 c CD E i5 0&quot;&apos; 9 9 • Mainland • • • • -0.30.20.1 0.0 0.1 0.2 Dimension 1 (62%) Figure 7 Classical metric multidimensional scaling of distance matrix, showing the two most significant dimensions.</S><S sid ="367" ssid = "76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.&apos;s system.</S><S sid ="49" ssid = "10">It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 51 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['180'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['180'] | Citation Text:  <S sid ="180" ssid = "4">Chinese word segmentation is a well-known problem that has been studied extensively (Wu and Fung, 1994; Sproat et al., 1996; Luo and Roukos, 1996) and it is known that human agreement is relatively low.</S> | Reference Offset:  ['23', '54', '24', '137'] | Reference Text:  <S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="54" ssid = "15">A minimal requirement for building a Chinese word segmenter is obviously a dictionary; furthermore, as has been argued persuasively by Fung and Wu (1994), one will perform much better at segmenting text by using a dictionary constructed with text of the same genre as the text to be segmented.</S><S sid ="24" ssid = "24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S><S sid ="137" ssid = "1">Chinese word segmentation can be viewed as a stochastic transduction problem.</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 52 | Reference Article:  J96-3004.xml | Citing Article:  W03-1025.xml | Citation Marker Offset:  ['187'] | Citation Marker:  1996 | Citation Offset:  ['186','187'] | Citation Text:  <S sid ="186" ssid = "10">Sproat et al.</S><S sid ="187" ssid = "11">(1996) employs stochastic finite state machines to find word boundaries.</S> | Reference Offset:  ['138', '16', '49', '91'] | Reference Text:  <S sid ="138" ssid = "2">More formally, we start by representing the dictionary D as a Weighted Finite State Trans­ ducer (WFST) (Pereira, Riley, and Sproat 1994).</S><S sid ="16" ssid = "16">com §Cambridge, UK Email: nc201@eng.cam.ac.uk © 1996 Association for Computational Linguistics (a) B ) ( , : &amp; ; ? &apos; H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? &apos; (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : &amp; I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l &apos; J a p a n e s e &apos; &apos; o c t o p u s &apos; &apos; h o w &apos; &apos; s a y &apos; (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [§] lxI 1:&amp;I ri4 wen2 zhangl yu2zen3 me0 shuol &apos;Japan&apos; &apos;essay&apos; &apos;fish&apos; &apos;how&apos; &apos;say&apos; A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid ="49" ssid = "10">It has been shown for English (Wang and Hirschberg 1992; Hirschberg 1993; Sproat 1994, inter alia) that grammatical part of speech provides useful information for these tasks.</S><S sid ="91" ssid = "29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> | Discourse Facet:  ['Results_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 53 | Reference Article:  J96-3004.xml | Citing Article:  W03-1728.xml | Citation Marker Offset:  ['3'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['3'] | Citation Text:  <S sid ="3" ssid = "3">This may sound simple enough but in reality identifying words in Chinese is a nontrivial problem that has drawn a large body of research in the Chinese language processing community (Fan and Tsai, 1988; Gan et al., 1996; Sproat et al., 1996; Wu, 2003; Xue, 2003).</S> | Reference Offset:  ['20', '23', '16', '21'] | Reference Text:  <S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="16" ssid = "16">com §Cambridge, UK Email: nc201@eng.cam.ac.uk © 1996 Association for Computational Linguistics (a) B ) ( , : &amp; ; ? &apos; H o w d o y o u s a y o c t o p u s i n J a p a n e s e ? &apos; (b) P l a u s i b l e S e g m e n t a t i o n I B X I I 1 : &amp; I 0 0 r i 4 w e n 2 z h a n g l y u 2 z e n 3 m e 0 s h u o l &apos; J a p a n e s e &apos; &apos; o c t o p u s &apos; &apos; h o w &apos; &apos; s a y &apos; (c) Figure 1 I m p l a u s i b l e S e g m e n t a t i o n [§] lxI 1:&amp;I ri4 wen2 zhangl yu2zen3 me0 shuol &apos;Japan&apos; &apos;essay&apos; &apos;fish&apos; &apos;how&apos; &apos;say&apos; A Chinese sentence in (a) illustrating the lack of word boundaries.</S><S sid ="21" ssid = "21">In Chinese text, individual characters of the script, to which we shall refer by their traditional name of hanzi,Z are written one after another with no intervening spaces; a Chinese sentence is shown in Figure 1.3 Partly as a result of this, the notion &quot;word&quot; has never played a role in Chinese philological tradition, and the idea that Chinese lacks any­ thing analogous to words in European languages has been prevalent among Western sinologists; see DeFrancis (1984).</S> | Discourse Facet:  ['Method_Citation', 'Implication_Citation'] | Annotator:  CIST |


Citance Number: 54 | Reference Article:  J96-3004.xml | Citing Article:  W04-3236.xml | Citation Marker Offset:  ['157'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['157'] | Citation Text:  <S sid ="157" ssid = "35">Much previous research on Chinese language processing focused on word segmentation (Sproat et al., 1996; Teahan et al., 2000; Sproat and Emerson, 2003).</S> | Reference Offset:  ['20', '23', '54', '24'] | Reference Text:  <S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="23" ssid = "23">All notions of word, with the exception of the orthographic word, are as relevant in Chinese as they are in English, and just as is the case in other languages, a word in Chinese may correspond to one or more symbols in the orthog 1 For a related approach to the problem of word-segrnention in Japanese, see Nagata (1994), inter alia..</S><S sid ="54" ssid = "15">A minimal requirement for building a Chinese word segmenter is obviously a dictionary; furthermore, as has been argued persuasively by Fung and Wu (1994), one will perform much better at segmenting text by using a dictionary constructed with text of the same genre as the text to be segmented.</S><S sid ="24" ssid = "24">2 Chinese ?l* han4zi4 &apos;Chinese character&apos;; this is the same word as Japanese kanji..</S> | Discourse Facet:  Method_Citation | Annotator:  CIST |


Citance Number: 55 | Reference Article:  J96-3004.xml | Citing Article:  W05-0709.xml | Citation Marker Offset:  ['83'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['83'] | Citation Text:  <S sid ="83" ssid = "9">In addition to the model based upon a dictionary of stems and words, we also experimented with models based upon character n-grams, similar to those used for Chinese segmentation (Sproat et al., 1996).</S> | Reference Offset:  ['418', '135', '158', '107'] | Reference Text:  <S sid ="418" ssid = "21">This implies, therefore, that a major factor in the performance of a Chinese segmenter is the quality of the base dictionary, and this is probably a more important factor-from the point of view of performance alone-than the particular computational methods used.</S><S sid ="135" ssid = "73">The dictionary sizes reported in the literature range from 17,000 to 125,000 entries, and it seems reasonable to assume that the coverage of the base dictionary constitutes a major factor in the performance of the various approaches, possibly more important than the particular set of methods used in the segmentation.</S><S sid ="158" ssid = "22">The cost is computed as follows, where N is the corpus size and f is the frequency: (1) Besides actual words from the base dictionary, the lexicon contains all hanzi in the Big 5 Chinese code/ with their pronunciation(s), plus entries for other characters that can be found in Chinese text, such as Roman letters, numerals, and special symbols.</S><S sid ="107" ssid = "45">The second concerns the methods used (if any) to ex­ tend the lexicon beyond the static list of entries provided by the machine-readable dictionary upon which it is based.</S> | Discourse Facet:  ['Aim_Citation', 'Method_Citation'] | Annotator:  CIST |


Citance Number: 56 | Reference Article:  J96-3004.xml | Citing Article:  W06-1630.xml | Citation Marker Offset:  ['118'] | Citation Marker:  Sproat et al., 1996 | Citation Offset:  ['118'] | Citation Text:  <S sid ="118" ssid = "13">The words were stemmed all possible ways using simple hand-developed affix lists: for example, given a Hindi word c1 c2 c3 , if both c3 and c2 c3 are in our suffix and ending list, then this single word generates three possible candidates: c1 , c1 c2 , and c1c2 c3 . In contrast, Chinese candidates were extracted using a list of 495 characters that are frequently used for foreign names (Sproat et al., 1996).</S> | Reference Offset:  ['242', '20', '103', '170'] | Reference Text:  <S sid ="242" ssid = "106">The first probability is estimated from a name count in a text database, and the rest of the probabilities are estimated from a large list of personal names.n Note that in Chang et al.&apos;s model the p(rule 9) is estimated as the product of the probability of finding G 1 in the first position of a two-hanzi given name and the probability of finding G2 in the second position of a two-hanzi given name, and we use essentially the same estimate here, with some modifications as described later on.</S><S sid ="20" ssid = "20">Most languages that use Roman, Greek, Cyrillic, Armenian, or Semitic scripts, and many that use Indian-derived scripts, mark orthographic word boundaries; however, languages written in a Chinese-derived writ­ ing system, including Chinese and Japanese, as well as Indian-derived writing systems of languages like Thai, do not delimit orthographic words.1 Put another way, written Chinese simply lacks orthographic words.</S><S sid ="103" ssid = "41">Church and Hanks [1989]), and we have used lists of character pairs ranked by mutual information to expand our own dictionary.</S><S sid ="170" ssid = "34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S> | Discourse Facet:  ['Results_Citation', 'Method_Citation'] | Annotator:  CIST |


