 Citance Number: 1 | Reference Article: P98-2143.xml | Citing Article: A00-1020.xml | Citation Marker Offset: ['29'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['29'] | Citation Text: <S sid="29" ssid="5">(Mitkov, 1998), (Kennedy and Boguraev, 1996) (Kameyama, 1997)).</S> | Reference Offset: ['8' , '143' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 49 | Reference Article: P98-2143.xml | Citing Article: W04-0707.xml | Citation Marker Offset: ['222'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['222'] | Citation Text: <S sid="222" ssid="165">G U I TA R (Poesio and AlexandrovKabadjov, 2004) is a general-purpose anaphoric resolver that includes an implementation of the Vieira / Poesio algorithm for definite descriptions and of Mitkov?s algorithm for pronoun resolution (Mitkov, 1998).</S> | Reference Offset: ['8' , '69' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="69" ssid="55">2.2 Informal description of the algorithm.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 5 | Reference Article: P98-2143.xml | Citing Article: C02-1027.xml | Citation Marker Offset: ['79'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['79'] | Citation Text: <S sid="79" ssid="17">Most of the indicators have been adopted in LINGUA without modification from the original English version (see (Mitkov, 1998) for more details).</S> | Reference Offset: ['4' , '8' , '14' , '22' , '26' , '36' ] | Reference Text: <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="26" ssid="12">Whilst some of the indicators are more genre-specific (term prefer? ence) and others are less genre-specific ("immediate reference"), the majority appear to be genre? independent.</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 50 | Reference Article: P98-2143.xml | Citing Article: W04-0711.xml | Citation Marker Offset: ['19'] | Citation Marker: 1998 | Citation Offset: ['19'] | Citation Text: <S sid="19" ssid="19">(PMID:9701290) Table 1: A protein domain-referring phrase example ments and lexical features, in addressing problems in the biomedical domain (cf.</S> | Reference Offset: ['1' , '9' , '34' , '36' , '73' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="73" ssid="59">Look for noun phrases3 only to the left of the anaphor4 2.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 51 | Reference Article: P98-2143.xml | Citing Article: W04-0714.xml | Citation Marker Offset: ['18'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['18'] | Citation Text: <S sid="18" ssid="18">Our method is an inexpensive, fast and reliable procedure for anaphora resolution, which relies on cheaper and more reliable NLP tools such as part- of-speech (POS) tagger and shallow parsers (Baldwin, 1997; Ferr?ndez et al., 1998; Kennedy and Boguraev, 1996; Mitkov, 1998; Yeh and Chen, 2003).</S> | Reference Offset: ['1' , '8' , '11' , '119' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="119" ssid="44">This measure (Mitkov 1998b) applies only to anaphors "ambiguous" from the point of view of number and gender (i.e. to those "tough" anaphors which, after activating the gender and number filters, still have more than one candidate for antecedent) and is indicative of the performance of the antecedent indicators.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 52 | Reference Article: P98-2143.xml | Citing Article: W04-2310.xml | Citation Marker Offset: ['102'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['102'] | Citation Text: <S sid="102" ssid="7">In most systems ((Mitkov, 1998),(Lappin and Leass, 1994)) the weights that are assigned for different anaphor-antecedent relationships are programmer dependent.</S> | Reference Offset: ['8' , '11' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 53 | Reference Article: P98-2143.xml | Citing Article: W04-2310.xml | Citation Marker Offset: ['21862198'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['11'] | Citation Text: <S sid="11" ssid="11">Often domain-specific heuristics are used for anaphora resolution and fine tuned to perform well on a limited corpus, such as in (Mitkov, 1998).</S> | Reference Offset: ['1' , '8' , '11' , '34' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 54 | Reference Article: P98-2143.xml | Citing Article: W06-2302.xml | Citation Marker Offset: ['48'] | Citation Marker: 1998 | Citation Offset: ['48'] | Citation Text: <S sid="48" ssid="32">The approach is presented as a knowledge poor anaphora resolution algorithm (Mitkov R. [1995;1998]), which makes use of POS and NP chunking, it tries to individuate pleonastic ?it? occurrences, and assigns animacy.</S> | Reference Offset: ['1' , '8' , '9' , '11' , '37' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 55 | Reference Article: P98-2143.xml | Citing Article: W09-2411.xml | Citation Marker Offset: ['6'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['6'] | Citation Text: <S sid="6" ssid="6">Some of the limitations of the traditional rule based approaches (Mitkov, 1998) could be overcome by machine learning techniques, which allow automating the acquisition of knowledge from annotated corpora.</S> | Reference Offset: ['1' , '8' , '9' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 56 | Reference Article: P98-2143.xml | Citing Article: W99-0104.xml | Citation Marker Offset: ['59'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['59'] | Citation Text: <S sid="59" ssid="22">Other pronominal resolution approaches promote knowledge-poor methods (Mitkov, 1998), eitper by using an ordered set of general heuristics or by combining scores assigned to candidate antecedents.</S> | Reference Offset: ['1' , '4' , '8' , '11' , '14' , '17' , '16' , '18' , '21' , '22' , '31' , '28' , '34' , '37' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="21" ssid="7">If still no choice is possible, the most recent from the remaining candi? dates is selected as the antecedent.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="31" ssid="17">Givenness Noun phrases in previous sentences representing the "given information" (theme) 1 are deemed good candidates for antecedents and score I (candidates not representing the theme score 0).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 57 | Reference Article: P98-2143.xml | Citing Article: W99-0104.xml | Citation Marker Offset: ['60'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['60'] | Citation Text: <S sid="60" ssid="23">The CogNIAC algorithm {Baldwin, 1997) uses six heuristic rules to resalv.e coreference, whereas the algorithm presented in (Mitkov, 1998) is based on a limited set of preferences (e.g. definitiveness, l cal reiteration or immediate reference).</S> | Reference Offset: ['8' , '34' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 58 | Reference Article: P98-2143.xml | Citing Article: W99-0207.xml | Citation Marker Offset: ['128'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['128'] | Citation Text: <S sid="128" ssid="4">However, the difficulty of our task can be verified according to the baseline experiment results reported in (Mitkov, 1998).</S> | Reference Offset: ['8' , '11' , '143' ] | Reference Text: <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="143" ssid="4">As expected, some of the preferences had to be modified in order to fit with specific features of Polish (Mitkov & Stys 1997).</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 59 | Reference Article: P98-2143.xml | Citing Article: W99-0207.xml | Citation Marker Offset: ['131'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['131'] | Citation Text: <S sid="131" ssid="7">Whereas knowledge-based systems like (Carbonell and Brown, 1988) and (Rich and LuperFoy, 1988) combining multiple resolution strategies are expen? sive in the cost of human effort at development time and limited ability to scale to new domains, more re? cent knowledge-poor approaches like (Kennedy and Boguraev, 1996) and (Mitkov, 1998) address the problem without sophisticated linguistic knowledge.</S> | Reference Offset: ['1' , '8' , '9' , '11' , '132' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="132" ssid="57">3.3 Comparison to similar approaches: compara?.</S>  | Discourse Facet: Method_Citation | Annotator: Kokil Jaidka |
 Citance Number: 6 | Reference Article: P98-2143.xml | Citing Article: C04-1074.xml | Citation Marker Offset: ['17'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['17'] | Citation Text: <S sid="17" ssid="17">Other proposals provide a more realistic picture in that they work as a backend to a parser (Lappin and Leass, 1994) or noun chunker (Mitkov, 1998; Soon et al., 2001; Ng and Cardie, 2002)).</S> | Reference Offset: ['1' , '4' , '9' , '28' , '34' , '36' , '112' , '1' , '4' , '9' , '34' , '36' , '112' ] | Reference Text: <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="112" ssid="37">Out of 223 pro? nouns in the text, 167 were non-anaphoric (deictic and non-anaphoric "it").</S> <S sid="1" ssid="1">Most traditional approaches to anaphora resolution rely heavily on linguistic and domain knowledge.</S> <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="9" ssid="9">However, to represent and manipulate the various types of linguistic and domain knowledge involved requires considerable human input and computational expense.</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="36" ssid="22">Empirical evidence sug? gests that because of the salience of the noun phrases which follow them, the verbs listed above are particularly good indicators.</S> <S sid="112" ssid="37">Out of 223 pro? nouns in the text, 167 were non-anaphoric (deictic and non-anaphoric "it").</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 7 | Reference Article: P98-2143.xml | Citing Article: C04-1074.xml | Citation Marker Offset: ['61'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['61'] | Citation Text: <S sid="61" ssid="23">They provide restrictions on coindexation of pronouns with clause siblings, and therefore can only be applied with systems that determine clause boundaries, i.e. parsers (Mitkov, 1998).</S> | Reference Offset: ['3' , '8' , '94' ] | Reference Text: <S sid="3" ssid="3">This paper pres? ents a robust, knowledge-poor approach to resolving pronouns in technical manuals, which operates on texts pre-processed by a part-of-speech tagger.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="94" ssid="19">There were 71 pronouns in the 140 page technical manual; 7 of the pronouns were non-anaphoric and 16 exophoric.</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
 Citance Number: 9 | Reference Article: P98-2143.xml | Citing Article: C04-1143.xml | Citation Marker Offset: ['101'] | Citation Marker: Mitkov, 1998 | Citation Offset: ['101'] | Citation Text: <S sid="101" ssid="44">The search scope for candidate antecedents is set to the current sentence together with the three preceding sentences as suggested in (Mitkov, 1998) as empirical studies show that more than 85% of all cases are handled correctly with this window size (Mitkov, 2002).</S> | Reference Offset: ['4' , '8' , '10' , '11' , '14' , '17' , '16' , '18' , '20' , '22' , '31' , '28' , '34' , '37' , '72' ] | Reference Text: <S sid="4" ssid="4">Input is checked against agreement and for a number of antecedent indicators.</S> <S sid="8" ssid="8">For the most part, anaphora resolution has focused on traditional linguistic methods (Carbonell & Brown 1988; Carter 1987; Hobbs 1978; Ingria & Stallard 1989; Lappin & McCord 1990; Lappin & Leass 1994; Mitkov 1994; Rich & LuperFoy 1988; Sidner 1979; Webber 1979).</S> <S sid="10" ssid="10">While various alternatives have been proposed, making use of e.g. neural networks, a situation se? mantics framework, or the principles of reasoning with uncertainty (e.g. Connoly et al. 1994; Mitkov 1995; Tin & Akman 1995), there is still a strong need for the development of robust and effective strategies to meet the demands of practical NLP systems, and to enhance further the automatic pro? cessing of growing language resources.</S> <S sid="11" ssid="11">Several proposals have already addressed the anaphora resolution problem by deliberately limiting the extent to which they rely on domain and/or lin? guistic knowledge (Baldwin 1997; Dagan & ltai 1990; Kennedy & Boguraev 1996; Mitkov 1998; Nasukawa 1994; Williams et al. 1996).</S> <S sid="14" ssid="14">Finally, our evaluation shows that the basic set of antecedent tracking indicators can work well not only for English, but also for other languages (in our case Polish and Arabic).</S> <S sid="17" ssid="3">The approach works as follows: it takes as an input the output of a text processed by a part-of-speech tagger, identifies the noun phrases which precede the anaphor within a distance of 2 sentences, checks them for gender and number agreement with the anaphor and then applies the genre-specific antecedent indicators to the re? maining candidates (see next section).</S> <S sid="16" ssid="2">It makes use of only a part-of-speech tagger, plus simple noun phrase rules (sentence constituents are identified at the level of noun phrase at most) and operates on the basis of antecedent-tracking preferences (referred to hereafter as "antecedent indicators").</S> <S sid="18" ssid="4">The noun phrase with the highest aggregate score is proposed as antecedent; in the rare event of a tie, priority is given to the candidate with the higher score for im? mediate reference.</S> <S sid="20" ssid="6">If this does not help, the candidate with the higher score for indicating verbs is preferred.</S> <S sid="22" ssid="8">2.1 Antecedent indicators.</S> <S sid="31" ssid="17">Givenness Noun phrases in previous sentences representing the "given information" (theme) 1 are deemed good candidates for antecedents and score I (candidates not representing the theme score 0).</S> <S sid="28" ssid="14">Definiteness Definite noun phrases in previous sentences are more likely antecedents of pronominal anaphors than indefinite ones (definite noun phrases score 0 and indefinite ones are penalised by -1).</S> <S sid="34" ssid="20">1We use the simple heuristics that the given information is the first noun phrase in a non-imperative sentence.</S> <S sid="37" ssid="23">Lexical reiteration Lexically reiterated items are likely candidates for antecedent (a NP scores 2 if is repeated within the same paragraph twice or more, 1 if repeated once and 0 if not).</S> <S sid="72" ssid="58">ceding sentences (if available).</S>  | Discourse Facet: Method_Citation | Annotator: Aakansha Gehlot |
